projectname,classification,preprocess_comments
apache-ant-1.7.0,DEFECT,fixm formatt not thread safe
apache-ant-1.7.0,DEFECT,xxx jon skeet the comment if hasn been done alreadi may not strictli true won configur same attribut text more than onc but may well add children again unless miss someth
apache-ant-1.7.0,DEFECT,hate admit it but don know what happen here throw except
apache-ant-1.7.0,DEFECT,just note starteam ha statu new which impli that there item your local machin that not repositori these item that show not view starteam gui one would think that would want perhap checkin new item not all case steve cohen dec unfortun sdk doesn realli work and can actual see anyth with statu new that whi can just check out everyth here without worri about lose anyth
apache-ant-1.7.0,DEFECT,gener class must not ad gener jar that buggi old jona
apache-ant-1.7.0,DEFECT,todo thi comment still relev fixm need use saxsourc sourc transform can plug our own entiti resolv
apache-ant-1.7.0,DEFECT,thi turn off temporarili there appear bug where recurs window even pattern result unix result window
apache-ant-1.7.0,DEFECT,pattern now hold while string not exhaust thi will gener fals posit but can live with that
apache-ant-1.7.0,DEFECT,fixm no namespac empti namespac realli ok
apache-ant-1.7.0,DEFECT,fixm thi actual not veri cpu cycl friendli convert from do java while underli sun implement will convert from java do time intern storag
apache-ant-1.7.0,DEFECT,check first that not alreadi load otherwis consecut run seem end into outofmemoryerror fail when there nativ librari load sever time thi far from be perfect but should work most case
apache-ant-1.7.0,DEFECT,todo warn line that show code which contain variabl error will caus some troubl the parser should definit much better
apache-ant-1.7.0,DEFECT,todo thi comment still relev fixm need use saxsourc sourc transform can plug our own entiti resolv
apache-ant-1.7.0,DESIGN,xxx realli don like thi xml processor still too process better solut imo would creat project and target too and then process tree and have project target deal with it attribut similar with descript eventu switch add support dom thing will work smoothli can avoid almost complet could still creat demand backward compat
apache-ant-1.7.0,DESIGN,junit wrap solo test thi way can extract origin test name with littl hack
apache-ant-1.7.0,DESIGN,xxx ignor attribut differ mayb store them
apache-ant-1.7.0,DESIGN,borrow from tokenfiltertest
apache-ant-1.7.0,DESIGN,xxx move project share all helper
apache-ant-1.7.0,DESIGN,what properti suppos be
apache-ant-1.7.0,DESIGN,pr hack ant type valu ant type compon name which can namespac need extract name and convert from qualifi name uri name
apache-ant-1.7.0,DESIGN,there conveni xsltc class version but data privat use packag inform
