projectname,classification,preprocess_comments
apache-jmeter-2.10,DEFECT,don tri restor url todo not
apache-jmeter-2.10,DEFECT,todo whi clone return valu thi onli refer right shouldn need separ copi
apache-jmeter-2.10,DEFECT,fix bug jvm that return true fals rather than true fals from type editor getastext method
apache-jmeter-2.10,DEFECT,should thi also fail sampl can happen incorrect xpath express
apache-jmeter-2.10,DEFECT,todo whi doe null properti have valu
apache-jmeter-2.10,DEFECT,int contentlength visibl todo size ouststream accord actual content length
apache-jmeter-2.10,DEFECT,thi would sensibl but doe not work public int hashcod return propmap hashcod
apache-jmeter-2.10,DEFECT,fixm due startengin be comment engin will alway null privat engin
apache-jmeter-2.10,DEFECT,note these line center about dialog current window some older swing version have bug and they may not make thi behav properli
apache-jmeter-2.10,DEFECT,todo how can thi null
apache-jmeter-2.10,DEFECT,todo display warn dialog thi can take some time
apache-jmeter-2.10,DEFECT,todo may not work all ose
apache-jmeter-2.10,DEFECT,todo error count need sort out present statist sampler track error separ would make sens move error count here but thi would mean lot chang it also tricki maintain count can just when success flag set thi may done multipl time the work round now work which overrid thi method note that some jm sampler also creat sampl with sampl count also transact control probabl need chang do proper sampl and error account the purpos thi work round allow least minim support for error remot statist batch mode
apache-jmeter-2.10,DEFECT,todo doesn put thi here mark tree save even though failur may occur later
apache-jmeter-2.10,DEFECT,todo fix that thi onli call onc per test instead everi clone perhap save previou filenam and onli load ha chang
apache-jmeter-2.10,DEFECT,bug abov method
apache-jmeter-2.10,DEFECT,todo should call test listen that might hang too non nl default true
apache-jmeter-2.10,DEFECT,fixm factor with just append all paramet valu and use that post bodi
apache-jmeter-2.10,DEFECT,the sslmanag handl keystor inform jmeter basic it handl all logic load and initi all jsse paramet and select alia authent against avail sslmanag will tri automat select client certif you but can make decis will pop open dialog ask you for more inform todo doe not actual prompt
apache-jmeter-2.10,DEFECT,urgent todo sort out equal and hashcod present equal instanc can will have differ hashcod problem is when proper hashcod use test stop work listen data disappear when switch view thi presum mean that instanc current regard equal aren realli equal see
apache-jmeter-2.10,DEFECT,thi mean that new page will shown befor render complet howev correct locat will display attempt use page detect when page ha been load fail work ani better
apache-jmeter-2.10,DEFECT,todo remov node from checkdirti map should done later case some can remov
apache-jmeter-2.10,DESIGN,todo turn into paramet
apache-jmeter-2.10,DESIGN,todo should thi just call super
apache-jmeter-2.10,DESIGN,todo improv thi
apache-jmeter-2.10,DESIGN,todo contenttyp and or dataencod belong instead
apache-jmeter-2.10,DESIGN,todo need more work
apache-jmeter-2.10,DESIGN,mayb move vector problem occur
apache-jmeter-2.10,DESIGN,todo thi method doesn appear use
apache-jmeter-2.10,DESIGN,todo thi realli necessari
apache-jmeter-2.10,DESIGN,program error bail out
apache-jmeter-2.10,DESIGN,todo should thi throw error
apache-jmeter-2.10,DESIGN,program error bail out
apache-jmeter-2.10,DESIGN,houston have problem
apache-jmeter-2.10,DESIGN,todo replac with proper except
