projectname,classification,preprocess_comments
argouml,DEFECT,todo thi brute forc approach updat listen each and everi event without check event type ani other inform go caus lot subclass implement updatelisten and they won have event inform make their own decis
argouml,DEFECT,todo the abov statement also refresh when not shown to verifi henc not entir correct
argouml,DEFECT,class display graphic uml synchstat diagram todo font increas circl should grow too author
argouml,DEFECT,todo thi order list then you have to add right locat
argouml,DEFECT,rank node depend their level posit hierarchi and set their weight achiev proper node sequenc layout row exceed maximum row width split standalon node are avail weight other node determin their column todo weight doesn appear work intend becaus multipl group get intermix name order rather than be group their tfm
argouml,DEFECT,todo thi tag valu name which will never trigger event
argouml,DEFECT,test copyhelp without use stereotyp the test use tree object pre model class nestedpackag interfac attribut pre todo thi test doesn match mdr implement becaus expect content namespac copi disabl until can fix run with both mdr and euml tfm author bogdan
argouml,DEFECT,todo correctli implement next function model subsystem issu
argouml,DEFECT,todo the code implement thi method from see issu mechan integr tfmorri may need be review updat author decki endi yayan politechn bandung comput depart method chang text messag
argouml,DEFECT,todo whi doe next part not work
argouml,DEFECT,todo don realli want thi fill but it not then user can doubl click compart add new liter appar gef think unfil fig onli select border setfil fals
argouml,DEFECT,todo can have global current languag
argouml,DEFECT,todo should warn user have remov someth tfm
argouml,DEFECT,not visibl most like we be delet todo thi indic more fundament problem that should investig tfm
argouml,DEFECT,fixm follow throw object with mofid longer exist applicabletagdef assertnotnul tag definit wasn found return valu after load project
argouml,DEFECT,todo in gef need pass back descript what be done
argouml,DEFECT,make stretch vertic todo the curbodi must notifi modif
argouml,DEFECT,todo thi next line safe what happen there just one comment edg comment edg and singl messag
argouml,DEFECT,todo consid all delet event valid like below go caus lot unecessari work and some problem
argouml,DEFECT,els coordin outsid classifi role fix max classifi role fixm should increas height classifi role don
argouml,DEFECT,todo thi appear expect that uml tag name will appear properti name event but with uml switch tagdefinit thi won work
argouml,DEFECT,todo not uml
argouml,DEFECT,todo remov from uml non nl
argouml,DEFECT,todo onli occurr isconcurr uml index it not page that index
argouml,DEFECT,todo thi work degre angl but suboptim other angl should reflect angl rather than just use neg offset along same vector
argouml,DEFECT,todo map uml name uml name non nl non nl
argouml,DEFECT,todo except thi won work becaus name differ which will caus test checkumlmodelhelp fail
argouml,DEFECT,thi doesn work uml both owner and properti need
argouml,DEFECT,fixm fail here the current behavior appear intent ie test wrong tfm assertnul the profil stereotyp name shouldn found profilemodel
argouml,DEFECT,todo thi look backward left over from issu
argouml,DEFECT,todo thi doesn work but should collect element element asserttru fail creat clean environ
argouml,DEFECT,todo issu propos allow ani paclag return potenti namespac comment out until thi review and clearli accept all
argouml,DEFECT,todo someth might wrong dure process don realli want creat model element until user releas mous place expect
argouml,DEFECT,strang but return collect not list thi bug compar uml standard imho mvw henc linkend ad end instead
argouml,DEFECT,todo synchron requir here there can some concurr modif problem when draw call messag and have that automat draw repli mayb fix todo below will resolv thi and synch can go
argouml,DEFECT,these next line case that current namespac not valid one which cours should not happen but doe see project attach issu
argouml,DEFECT,todo uml event ha paramet todo treat objectflowst thi doesn exist anymor uml and classifi
argouml,DEFECT,todo thi order list then you have to add right locat
argouml,DEFECT,appear gone from uml
argouml,DEFECT,todo thi doe not work event arriv
argouml,DEFECT,todo thi onli check immedi sibl when need check all import element both here and our parent and also take into account visibl
argouml,DEFECT,thi doe not work anymor yet sinc never have figtext here
argouml,DEFECT,util function local given string with help text and show it statu bar argouml window thi function use favour inlin call enabl later improv would be possibl show help balloon todo work thi out one matter possibl improv show multipl line param given string local and shown
argouml,DEFECT,todo monitor get dismiss befor layout complet
argouml,DEFECT,todo current don support per fig set most stuff can just use default that given set new
argouml,DEFECT,todo not yet work uml
argouml,DEFECT,thi trigger some warn in log becaus some element creat without owner and eresourc null todo fix thi the warn log if would not add eobject resourc would look like thi warn awt eventqueu encount delet object dure delet of
argouml,DEFECT,todo shouldn throw except here
argouml,DEFECT,todo algorithm number node
argouml,DEFECT,updat attach node figur todo presum thi should onli happen add remov event
argouml,DEFECT,fixm depend intern behavior xmireaderimpl need solv issu
argouml,DEFECT,todo allow ad model diagram issu
argouml,DEFECT,todo updat old and new node abov thi thi issu the old and new uml namespac event but how know which node refresh and how refresh not necessarili namespac depend perspect
argouml,DEFECT,todo thi should onli build list
argouml,DEFECT,todo the follow can remov selectal get fix
argouml,DEFECT,fixm boundari condit end imag non integr multipl buffer height
argouml,DEFECT,todo not uml
argouml,DEFECT,todo can have global current languag
argouml,DEFECT,xxx thi seem bug parser alway requir context
argouml,DEFECT,todo use todo thi will fail with nest model
argouml,DEFECT,not visibl most like we be delet todo thi indic more fundament problem that should investig tfm
argouml,DEFECT,todo should have all inform that requir the notationset object
argouml,DEFECT,pars transit descript line form pre event signatur guard condit pre not interpret have ani special mean the event signatur may one format ul li changeev when condit li timeev after durat li callev li signalev ani string without ul remark the uml standard doe not make distinct between syntax callev and signalev both may have paramet between for simplic and user friendli chose thi distinct user want paramet signalev then may add them properti panel but not diagram altern solut would creat callev default and when edit exist event not chang type todo thi function fail when event signatur contain see issu other case that problem past param tran transit object which thi string appli param string pars return transit object throw parseexcept when match found
argouml,DEFECT,todo thi whole block can delet when issu resolv
argouml,DEFECT,todo not uml
argouml,DEFECT,dirti fix issu need amend when start support paramet
argouml,DEFECT,todo not uml
argouml,DEFECT,todo thi doe not work mvw
argouml,DEFECT,todo not uml
argouml,DEFECT,todo thi case properti panel not updat with chang express
argouml,DEFECT,todo not uml
argouml,DEFECT,warn outputstream version thi doesn work tfm
argouml,DEFECT,els coordin outsid classifi role fix max classifi role fixm should increas height classifi role don
argouml,DEFECT,warn the gef implement outputstream version thi method doesn work tfm
argouml,DEFECT,todo test allinst even though not yet support
argouml,DEFECT,todo not implement euml
argouml,DEFECT,todo thi onli work item visibl all it parent expand makevis
argouml,DEFECT,thi will have problem smallest possibl data segment smaller than size buffer need regex match
argouml,DEFECT,todo not uml
argouml,DEFECT,todo whi thi throw gener runtim except
argouml,DEFECT,todo thi except will thrown dure autoscrol when edg canva reach caus either width height adjust neg valu
argouml,DEFECT,disabl sinc give variou problem toolbar icon get too wide also default doe not give new java look compon tree
argouml,DEFECT,thi featur get owner that featur todo doe anyth actual make use thi can caus unexpect behaviour
argouml,DEFECT,todo thi error need report
argouml,DEFECT,todo not uml
argouml,DEFECT,todo should give user more direct feedback
argouml,DEFECT,todo thi should use
argouml,DEFECT,mani mani these event thi slow thing down
argouml,DEFECT,todo thi doesn perform well enough with larg model have enabl default perform can improv perhap can introduc manual find explor tree action selectal target
argouml,DEFECT,realli ought have criticexcept throw here
argouml,DEFECT,todo consid all delet event valid like below go caus lot unecessari work and some problem
argouml,DEFECT,todo thi never execut ludo work never finish
argouml,DEFECT,todo when attribut isn diagram exempl select attribut explor then refresh isn auto had click
argouml,DEFECT,todo thi probabl undesir side effect unless user confirm it place element second diagram go potenti chang it namespac tfm
argouml,DEFECT,todo the below not strictli correct but should cover case deal with use real xml parser would better look xml document ha just singl root element
argouml,DEFECT,todo assum public todo thi probabl undesir side effect unless user confirm it place element second diagram go potenti chang it namespac tfm
argouml,DEFECT,todo uncom follow get failur zip uml null
argouml,DEFECT,statu nov fig creat properti panel exist more work requir explor and assumpt about model not be nest tfm
argouml,DEFECT,have anyth multipl element select don anyth todo need support multipl select see issu
