projectname,classification,preprocess_comments
columba-1.4-src,DEFECT,doe not work getfoldernam doe not work
columba-1.4-src,DEFECT,todo key can null
columba-1.4-src,DEFECT,bug fdietz cc should cc instead to
columba-1.4-src,DEFECT,todo check have manual set folder uid messag control make thi work
columba-1.4-src,DEFECT,bug fdietz cc should cc instead to
columba-1.4-src,DEFECT,fixm thi not correct
columba-1.4-src,DEFECT,fixm correct year calcul
columba-1.4-src,DEFECT,fixm check correct file name
columba-1.4-src,DEFECT,todo newuid gener correctli format date string
columba-1.4-src,DEFECT,todo fix doctyp
columba-1.4-src,DEFECT,todo key can null
columba-1.4-src,DEFECT,todo fix parser except
columba-1.4-src,DEFECT,fixm author fdietz lock folder current implement author frd
columba-1.4-src,DESIGN,todo author fdietz should remov onli use stream
columba-1.4-src,DESIGN,fixm author karlped proper version html refer to
columba-1.4-src,DESIGN,thi hack multilin column
columba-1.4-src,DESIGN,todo author tstich someth
columba-1.4-src,DESIGN,todo author fdietz in
columba-1.4-src,DESIGN,fixm remov method toolbarpan add
columba-1.4-src,DESIGN,todo author fdietz in
columba-1.4-src,DESIGN,todo author fdietz in
columba-1.4-src,DESIGN,todo author hubm copi from frederik search builder
columba-1.4-src,DESIGN,real stupid recreat whole list model replac with id base listmodel updat
columba-1.4-src,DESIGN,todo author karlped extend handl special entiti
columba-1.4-src,DESIGN,transform email address into html just as but tri ignor email address which alreadi link ignor link flag set br thi extend function necessari when pars text which alreadi partli html br fixm can thi done smarter directli with reg expr without manual pars param input text param ignorelink true link tag ignor thi give wrong result some mail adress are alreadi link but use reg expr directli and therefor faster return text with email adress transform link
columba-1.4-src,DESIGN,todo return content encod accord mime part mail
columba-1.4-src,DESIGN,todo return content type accord mime part mail
columba-1.4-src,DESIGN,hack support dockabl view titl updat todo replac with listen pattern
columba-1.4-src,DESIGN,todo stop poll thread
columba-1.4-src,DESIGN,todo author hubm bad there icon tag not
columba-1.4-src,DESIGN,todo categoryenumer
columba-1.4-src,DESIGN,hack start and end time all day event
columba-1.4-src,DESIGN,regist interest store chang todo depend should other way around
columba-1.4-src,DESIGN,todo fix layout look good even there not enough inform provid
columba-1.4-src,DESIGN,todo author fdietz in
columba-1.4-src,DESIGN,fixm ugli cast contactmodel
columba-1.4-src,DESIGN,todo dont use deprec method
columba-1.4-src,DESIGN,todo must get poll interv from config file
columba-1.4-src,DESIGN,todo reactiv when featur support
columba-1.4-src,DESIGN,thi folder ha children add them todo futur should tri fetch addit children demand when tree dialog open
columba-1.4-src,DESIGN,todo author fdietz add more special entiti accentur char such
columba-1.4-src,DESIGN,todo author waffel encrypt and sign dosn work the messag alway onli encrypt need function that know here encrypt and sign messag thu first encyrpt and then verifysign messag thi messag sign encrypt have use gnupg extract decrypt bodypart multipart encrypt multipart sign
columba-1.4-src,DESIGN,transform url into html just but tri ignor url which alreadi link ignor link flag set br thi extend function necessari when pars text which alreadi partli html br fixm can thi done smarter directli with reg expr without manual pars param input text param ignorelink true link tag ignor thi give wrong result some url alreadi link but use reg expr directli and is therefor faster return text with url
columba-1.4-src,DESIGN,todo author fdietz ensur that don fetch individu header reduc client server roundtrip
columba-1.4-src,DESIGN,bad have releas hardocod here fix later right
columba-1.4-src,DESIGN,todo author fdietz in
columba-1.4-src,DESIGN,todo author fdietz in
columba-1.4-src,DESIGN,hack start and end time all day event
columba-1.4-src,DESIGN,todo open stream from mime part specifi contentid current view mail
columba-1.4-src,DESIGN,someth veri wrong here
columba-1.4-src,DESIGN,it mayb better leav thi option out dialog make configur xml file anyway
columba-1.4-src,DESIGN,todo author fdietz in
columba-1.4-src,DESIGN,todo make thi hack more in compat
columba-1.4-src,DESIGN,todo author fdietz in
columba-1.4-src,DESIGN,todo move resourc resourc file
columba-1.4-src,DESIGN,todo use undoableeditev make thi realli work
columba-1.4-src,DESIGN,todo should take some action ensur signatur valid html
columba-1.4-src,DESIGN,xxx should thi fire differ thread
columba-1.4-src,DESIGN,todo add configur cach size
columba-1.4-src,DESIGN,command execut search case new result result arriv ensur that all interest listen notifi from insid edt fixm fdietz lock folder current implement todo fdietz creat new command everi provid introduc real parallel search author fdietz
columba-1.4-src,DESIGN,xxx thi not thread safe though luck isn suppos be
columba-1.4-src,DESIGN,todo author fdietz move thi constructor
columba-1.4-src,DESIGN,todo should thi renam cloc someth more appropri than clock
columba-1.4-src,DESIGN,todo author karlped guess that right thing get height sinc thi should take top and bottom margin thi print object into account but height seem not set correctli karlped
columba-1.4-src,DESIGN,can use systemclassload here becaus that wouldn work with java webstart resourcebundl use it own intern classload classload given set classload null
columba-1.4-src,DESIGN,note intent don rememb intern plugin becaus don want them appear plugin manag current todo improv plugin manag dialog support intern plugin which can remov etc
columba-1.4-src,DESIGN,fixm calendar
columba-1.4-src,DESIGN,todo author hubm have thi flag until speed entitymanag improv
columba-1.4-src,DESIGN,cleanup remov port number file
columba-1.4-src,DESIGN,todo there probabl better way thi hack
columba-1.4-src,DESIGN,todo befor insert find out there alreadi menu item with same action command so replac it otherwis insert new
columba-1.4-src,DESIGN,todo author fdietz add import featur
columba-1.4-src,DESIGN,todo author fdietz in
columba-1.4-src,DESIGN,todo author hubm implement custom menuitem render
columba-1.4-src,DESIGN,todo author fdietz page use current show onli first result
columba-1.4-src,DESIGN,todo author fdietz in
columba-1.4-src,DESIGN,real stupid recreat whole menu model
