projectname,classification,preprocess_comments
emf-2.4.1,DEFECT,bug should reli xmlcalendar normal dave valu ensur that all date valu field taken into account
emf-2.4.1,DEFECT,thi error
emf-2.4.1,DEFECT,fb won compil with vaj no jike fb object adapt
emf-2.4.1,DEFECT,eatm must fix isset bit
emf-2.4.1,DEFECT,eatm must fix isset bit
emf-2.4.1,DEFECT,thi error
emf-2.4.1,DEFECT,line comment end annot not part rang annot todo not includ line comment end annot bug
emf-2.4.1,DEFECT,eatm jdk there will indexof stringbuff
emf-2.4.1,DESIGN,todo factor into genbaseimpl
emf-2.4.1,DESIGN,eatm call deprec method which doe same thing but might have overrid older code
emf-2.4.1,DESIGN,todo factor into genbaseimpl
emf-2.4.1,DESIGN,unus
emf-2.4.1,DESIGN,todo factor into genbaseimpl
emf-2.4.1,DESIGN,call workaround
emf-2.4.1,DESIGN,todo deprec sinc getpluginclass longer call
emf-2.4.1,DESIGN,ensur that thi race condit thread safe doesn matter who win race
emf-2.4.1,DESIGN,todo factor into genbaseimpl
emf-2.4.1,DESIGN,todo thi assum onli get set notif which isn good assumpt
emf-2.4.1,DESIGN,dm handl thi well
emf-2.4.1,DESIGN,unus
emf-2.4.1,DESIGN,fb tbd can come with better algorithm choos default label featur
emf-2.4.1,DESIGN,dm should let thi except out
emf-2.4.1,DESIGN,dm what eclips run but invalid facad ha been specifi still should format code use encod
emf-2.4.1,DESIGN,dm better job with specif except just use chain runtimeexcept
emf-2.4.1,DESIGN,deleg uri can handl file we hope that renam will realli effici
emf-2.4.1,DESIGN,dm whi not thi new
emf-2.4.1,DESIGN,assum that it attribut now will could becom refer type resolv eclass
emf-2.4.1,DESIGN,noth now and avoid propag except how should builder handl cancel
emf-2.4.1,DESIGN,thi fall back howev thi should never call
emf-2.4.1,DESIGN,todo fix space abov
emf-2.4.1,DESIGN,todo remov thi bogu empti line
emf-2.4.1,DESIGN,todo handl class cast except better
emf-2.4.1,DESIGN,don know should run thi defer becaus might have give editor chanc process viewer updat event and henc updat view first
emf-2.4.1,DESIGN,thi big fester hack make imag right size from start
emf-2.4.1,DESIGN,eatm demand creat metadata need depend process mode
emf-2.4.1,DESIGN,todo thi realli quit attroci sinc there code that will assum iter that return string
emf-2.4.1,DESIGN,tbd return user select subset referenc packag that contain super class class thi packag
emf-2.4.1,DESIGN,call workaround
