projectname,classification,preprocess_comments
hibernate-distribution-3.3.2.GA,DEFECT,thi onli need afaict process result from queri cach howev thi cannot possibl work case discov type
hibernate-distribution-3.3.2.GA,DEFECT,note that thi timestamp not correct connect provid return older jdbc connect that associ with transact that alreadi begun befor opensess call don know ani possibl solut thi
hibernate-distribution-3.3.2.GA,DEFECT,todo thi assert disabl becaus there bug that mean origin owner transient uniniti collect not known collect re referenc differ object associ with current session throw new load unown collect
hibernate-distribution-3.3.2.GA,DEFECT,thi doe not support cach sql comma list extens but thi extens not support through hibern anyway
hibernate-distribution-3.3.2.GA,DEFECT,todo when thi entri point should use inner join fetch mani to mani element
hibernate-distribution-3.3.2.GA,DEFECT,could happen custom criteria impl not like but for long term solut see hhh
hibernate-distribution-3.3.2.GA,DEFECT,todo current broken uniqu key refer doe not detect chang uniqu key properti associ object the owner associ not owner
hibernate-distribution-3.3.2.GA,DEFECT,todo current broken uniqu key refer doe not detect chang uniqu key properti associ object
hibernate-distribution-3.3.2.GA,DEFECT,todo entiti can compar and entiti name fix thi
hibernate-distribution-3.3.2.GA,DEFECT,todo doe not work entitymod domj yet
hibernate-distribution-3.3.2.GA,DEFECT,todo deal with option attribut join map thi code assum that option default true becaus doesn actual seem work fetch join code note that actual proper handl option aliti here actual more involv than thi patch assum rememb that might have multipl join map associ with singl entiti realli coupl thing need happen properli handl option here first and foremost when handl multipl join realli should use entiti root tabl drive tabl anoth option here would choos some non option join tabl use drive tabl all likelihood just use root tabl much simplier need add column correspond each join tabl gener select list these would then use when iter result set determin whether all non option data present initi thought best way deal with thi would introduc new sequentialselect abstract that actual get gener persist ok singlet and util here would encapsul all thi requir option aliti check
hibernate-distribution-3.3.2.GA,DEFECT,todo would nice use fals but issu with sql
hibernate-distribution-3.3.2.GA,DEFECT,todo not realli complet correct sinc uoe could occur while resolv associ leav inconsist state
hibernate-distribution-3.3.2.GA,DEFECT,todo thi kinda inconsist with collectiontyp
hibernate-distribution-3.3.2.GA,DEFECT,for one to mani bag not realli bag realli set sinc can contain same element twice could consid bug map dtd that bag allow one to mani
hibernate-distribution-3.3.2.GA,DEFECT,todo entiti can compar pk fix thi onli if when can extract valu
hibernate-distribution-3.3.2.GA,DEFECT,todo old version did not requir hashmap lookup
hibernate-distribution-3.3.2.GA,DEFECT,todo thi disabl lazi even non pojo entiti mode
