projectname,classification,preprocess_comments
jEdit-4.2,DEFECT,technic incorrect here need wrap null valu bsh primit null howev thi invokemethod will that much us need gener condit here test null and return primit null
jEdit-4.2,DEFECT,look bad with appar
jEdit-4.2,DEFECT,veri subtl leav thi extra line will ad scroll line count
jEdit-4.2,DEFECT,onli work jedit plugin
jEdit-4.2,DEFECT,warn null callstack here don think need stack trace indic how sourc method
jEdit-4.2,DEFECT,doe matter that thi doesn set type correctli
jEdit-4.2,DEFECT,jun waitfor hang some java implement
jEdit-4.2,DEFECT,feb catch throwabl here rather than except kaff implement runtim exec throw
jEdit-4.2,DEFECT,look bad with appar
jEdit-4.2,DEFECT,two plugin provid same class
jEdit-4.2,DEFECT,thi realli should long decod but there isn one result hex and octal liter end don work
jEdit-4.2,DEFECT,broken class
jEdit-4.2,DEFECT,while it broken have null symlinkpath some older plugin might
jEdit-4.2,DEFECT,thi not good need way updat eval without re instal that can re eval param etc when classload chang look into thi
jEdit-4.2,DEFECT,thi seem make nest readlock call work okay but have idea actual fix thing not
jEdit-4.2,DEFECT,but hypersearch result window float workaround caus problem
jEdit-4.2,DEFECT,set buffer path caveat won work save call with rel path but don think anyon call like that anyway
jEdit-4.2,DEFECT,todo move shouldn reli call next time
jEdit-4.2,DEFECT,bug there multipl select differ context wrong comment string will insert
jEdit-4.2,DEFECT,todo move shouldn reli call next time
jEdit-4.2,DEFECT,feb catch throwabl here rather than except kaff implement runtim exec throw
jEdit-4.2,DEFECT,fix thi bug put mode into user dir with same name one system dir reload edit mode old mode from system dir still use highlight until jedit restart
jEdit-4.2,DEFECT,look bad with appar
jEdit-4.2,DEFECT,appar some environ you can catch secur except at all applet will probabl have work around
jEdit-4.2,DEFECT,exist remov and add end avoid memori leak
jEdit-4.2,DEFECT,race condit here
jEdit-4.2,DEFECT,use special cheat that speed code current about but may caus problem with futur mainten and add class file size about byte
jEdit-4.2,DEFECT,exist remov and add end avoid memori leak
jEdit-4.2,DEFECT,origin note jdk under win throw these to warn about lower case upper case possibl mismatch bsh consol prior squeltch which veri annoy cannot reproduc origin problem and thi never valid solut there legaci vm that have problem can includ more specif test them here
jEdit-4.2,DEFECT,thi shouldn happen but
jEdit-4.2,DEFECT,nov call thi drive letter window caus drive access
jEdit-4.2,DEFECT,aug os java ha broken getcanonicalpath
jEdit-4.2,DEFECT,don gener privat loos type field note loos type aren current pars anyway
jEdit-4.2,DEFECT,view should not null but some plugin might thi
jEdit-4.2,DEFECT,cach not correct and doesn seem help name genclass
jEdit-4.2,DEFECT,dialog fuck thing menu visibl etc new
jEdit-4.2,DEFECT,charat index may unknown reader inputstream fixm match after newlin multilin mode
jEdit-4.2,DEFECT,exist remov and add end avoid memori leak
jEdit-4.2,DEFECT,warn null callstack here don think need stack trace indic how sourc method
jEdit-4.2,DEFECT,thi class not veri fast
jEdit-4.2,DEFECT,note thi method incorrectli cach method structur need to be clear when classload chang
jEdit-4.2,DEFECT,xxx action bar might not
jEdit-4.2,DEFECT,wonder lack thi broke anyth past
jEdit-4.2,DESIGN,implement string valu accord jl valu may anyth in beanshel we disallow void undefin valu or should map them empti string
jEdit-4.2,DESIGN,thi should befor dockabl initi
jEdit-4.2,DESIGN,thi right
jEdit-4.2,DESIGN,should thi both case abov
jEdit-4.2,DESIGN,need loosen thi ani throwabl need handl that interpret somewher check first
jEdit-4.2,DESIGN,fuck gtk look and feel
jEdit-4.2,DESIGN,note thi implement temporari current keep flat namespac base name class beanshel cannot the process defin two class differ packag with same base name remov thi limit requir that work through namespac import analog or use same path regular class import resolut thi workaround should handl most case so we tri now
