projectname,classification,preprocess_comments
jfreechart-1.0.19,DEFECT,result preced code won work with jdk
jfreechart-1.0.19,DEFECT,todo check thi result
jfreechart-1.0.19,DEFECT,todo check thi result
jfreechart-1.0.19,DEFECT,return preced code won work with jdk
jfreechart-1.0.19,DEFECT,todo didn check height yet
jfreechart-1.0.19,DEFECT,fixm we clone chart but dataset aren clone and should that
jfreechart-1.0.19,DEFECT,todo not serial yet
jfreechart-1.0.19,DEFECT,preced code won work with jdk
jfreechart-1.0.19,DEFECT,todo didn check height yet
jfreechart-1.0.19,DESIGN,thi may neg
jfreechart-1.0.19,DESIGN,todo implement
jfreechart-1.0.19,DESIGN,todo subplot area need move out plot into plot state
jfreechart-1.0.19,DESIGN,todo shift block down bottom
jfreechart-1.0.19,DESIGN,todo might good idea keep refer color specifi setpaint setcolor rather than creat new object everi time getpaint call
jfreechart-1.0.19,DESIGN,todo now ignor height constraint
jfreechart-1.0.19,DESIGN,first determin size chart render area todo workout inset swt
jfreechart-1.0.19,DESIGN,todo implement properli
jfreechart-1.0.19,DESIGN,todo thi must wrong
jfreechart-1.0.19,DESIGN,todo didn check width yet
jfreechart-1.0.19,DESIGN,hack ensur newli creat awt font will render with same height swt one
jfreechart-1.0.19,DESIGN,todo shift block right half
jfreechart-1.0.19,DESIGN,fixm need local well timezon
jfreechart-1.0.19,DESIGN,todo shift block over right
jfreechart-1.0.19,DESIGN,need updat crosshair valu
jfreechart-1.0.19,DESIGN,todo find better local key
jfreechart-1.0.19,DESIGN,todo thi attribut should transfer render state
jfreechart-1.0.19,DESIGN,fixm implement thi low prioriti
jfreechart-1.0.19,DESIGN,fixm xyitemrender interfac doesn specifi getannot method but should
jfreechart-1.0.19,DESIGN,defer argument check
jfreechart-1.0.19,DESIGN,calcul adjust data area take into account effect thi assum that there render all thi effect bit ugli hack
jfreechart-1.0.19,DESIGN,todo add constructor combin number and date formatt
jfreechart-1.0.19,DESIGN,defer argument check
jfreechart-1.0.19,DESIGN,todo move plot state
jfreechart-1.0.19,DESIGN,here tweak notifi flag plot that onli one notif happen even though updat multipl axe
jfreechart-1.0.19,DESIGN,defer argument check
jfreechart-1.0.19,DESIGN,fixm should realli assert valu here
jfreechart-1.0.19,DESIGN,do these annot onli work with xyplot see possibl make contourplot subclass xyplot dg
jfreechart-1.0.19,DESIGN,fixm should realli assert valu
jfreechart-1.0.19,DESIGN,need updat crosshair valu
jfreechart-1.0.19,DESIGN,not strictli necessari sinc render set parent plot not use
jfreechart-1.0.19,DESIGN,need updat crosshair valu
jfreechart-1.0.19,DESIGN,todo complet thi
jfreechart-1.0.19,DESIGN,todo implement
jfreechart-1.0.19,DESIGN,defer argument check
jfreechart-1.0.19,DESIGN,todo implement
jfreechart-1.0.19,DESIGN,defer argument check
jfreechart-1.0.19,DESIGN,todo implement
jfreechart-1.0.19,DESIGN,need updat crosshair valu
jfreechart-1.0.19,DESIGN,todo fix output when thi flag set true
jfreechart-1.0.19,DESIGN,todo now ignor height constraint
jfreechart-1.0.19,DESIGN,todo move abov plot state
jfreechart-1.0.19,DESIGN,defer argument check
jfreechart-1.0.19,DESIGN,fixm thi code mean that not possibl use more than one domain axi combin plot
jfreechart-1.0.19,DESIGN,here tweak notifi flag plot that onli one notif happen even though updat multipl axe
jfreechart-1.0.19,DESIGN,not strictli necessari sinc render set parent plot not use
jfreechart-1.0.19,DESIGN,here tweak notifi flag plot that onli one notif happen even though updat multipl axe
jfreechart-1.0.19,DESIGN,end workaround
jfreechart-1.0.19,DESIGN,defer argument check
jfreechart-1.0.19,DESIGN,todo could chang thi itemfillpaint for backward compat might requir usefillpaint flag
jfreechart-1.0.19,DESIGN,redraw should not trigger anoth chang event
jfreechart-1.0.19,DESIGN,unus parent
jfreechart-1.0.19,DESIGN,todo thi attribut should transfer render state
jfreechart-1.0.19,DESIGN,defer argument check
jfreechart-1.0.19,DESIGN,todo jfreechart put thi method interfac
jfreechart-1.0.19,DESIGN,todo rotat imag when drawn with horizont orient
jfreechart-1.0.19,DESIGN,defer argument check
jfreechart-1.0.19,DESIGN,defer argument check
jfreechart-1.0.19,DESIGN,defer argument check
jfreechart-1.0.19,DESIGN,defer argument check
jfreechart-1.0.19,DESIGN,todo implement thi properli
jfreechart-1.0.19,DESIGN,fixm thi should gener seri chang event
jfreechart-1.0.19,DESIGN,defer argument check
jfreechart-1.0.19,DESIGN,defer argument check
jfreechart-1.0.19,DESIGN,defer argument check
jfreechart-1.0.19,DESIGN,defer argument check
jfreechart-1.0.19,DESIGN,fixm should realli assert valu here
jfreechart-1.0.19,DESIGN,defer argument check
jfreechart-1.0.19,DESIGN,redraw should not trigger anoth chang event
jfreechart-1.0.19,DESIGN,creat entiti fixm these method should defin
jfreechart-1.0.19,DESIGN,redraw should not trigger anoth chang event
jfreechart-1.0.19,DESIGN,defer argument check
jfreechart-1.0.19,DESIGN,fixm render interfac doesn have drawdomainlin method have reli render be subclass which lame
jfreechart-1.0.19,DESIGN,defer argument check
jfreechart-1.0.19,DESIGN,fixm thi attribut not use deprec
jfreechart-1.0.19,DESIGN,todo code event with some inform about what chang dataset could make recalcul interv more effici some case for instanc chang just updat valu then interv doesn need updat
jfreechart-1.0.19,DESIGN,here tweak notifi flag plot that onli one notif happen even though updat multipl axe
jfreechart-1.0.19,DESIGN,defer argument check
jfreechart-1.0.19,DESIGN,method want isn interfac
jfreechart-1.0.19,DESIGN,defer argument check
jfreechart-1.0.19,DESIGN,defer argument check
jfreechart-1.0.19,DESIGN,fixm what valu null next line
jfreechart-1.0.19,DESIGN,todo thi need move into render state
jfreechart-1.0.19,DESIGN,todo implement thi method properli
jfreechart-1.0.19,DESIGN,hack ensur newli creat swt font will render with same height awt one
jfreechart-1.0.19,DESIGN,unus parent
jfreechart-1.0.19,DESIGN,defer argument check
jfreechart-1.0.19,DESIGN,unus but must return someth while it
jfreechart-1.0.19,DESIGN,redraw should not trigger anoth chang event
jfreechart-1.0.19,DESIGN,fixm perhap should clone data list
jfreechart-1.0.19,DESIGN,here tweak notifi flag plot that onli one notif happen even though updat multipl axe
jfreechart-1.0.19,DESIGN,defer argument check
jfreechart-1.0.19,DESIGN,defer argument check
jfreechart-1.0.19,DESIGN,render valu percentag need calcul total current item unfortun here end repeat calcul more time than strictli necessari hope come back thi and find way add total render state the other problem implicitli assum dataset ha neg valu perhap that can fix too
jfreechart-1.0.19,DESIGN,defer argument check
jfreechart-1.0.19,DESIGN,note would nice pre calcul thi per seri
jfreechart-1.0.19,DESIGN,assum that all other paint instanc implement equal and hashcod of cours that might not true but what can about it
jfreechart-1.0.19,DESIGN,fixm use other field too
jfreechart-1.0.19,DESIGN,defer argument check
jfreechart-1.0.19,DESIGN,all attribut immut can just return super clone fixm fact gener itself immut clone not necessari
