projectname,classification,preprocess_comments
jruby-1.4.0,DEFECT,todo loos encod inform here fix
jruby-1.4.0,DEFECT,todo should use implicit nil bodi but problem punt til later
jruby-1.4.0,DEFECT,todo numer new work rubi and doe here too howev tri use that instanc numer oper should gener argumenterror do thi seem patholog not see need fix thi now
jruby-1.4.0,DEFECT,todo ad implicit nil caus multipl problem compil revist after land assert bodynod null bodynod not null
jruby-1.4.0,DEFECT,todo take bigdecim mode into account
jruby-1.4.0,DEFECT,todo full precis remaind slower than mri
jruby-1.4.0,DEFECT,fixm some reason thi dispatch caus verifyerror
jruby-1.4.0,DEFECT,fixm doubt ani constant referenc thi method ever redefin should compar known valu rather than expens constant lookup
jruby-1.4.0,DEFECT,todo rewrit and compil assum case when empti express mri thi just when assert casenod null casenod not null
jruby-1.4.0,DEFECT,todo don requir pop
jruby-1.4.0,DEFECT,xxx wrong but will have now
jruby-1.4.0,DEFECT,todo don requir pop
jruby-1.4.0,DEFECT,todo should use implicit nil bodi but problem punt til later
jruby-1.4.0,DEFECT,todo don requir pop
jruby-1.4.0,DEFECT,get valu from current scope one it captur scope fixm block variabl not get prime nil need null check those until prime them properli also add assert back in param offset zero index valu that repres where variabl live param depth how mani captur scope down thi variabl should set return valu here
jruby-1.4.0,DEFECT,todo don requir pop
jruby-1.4.0,DEFECT,import receiv block argument befor opt and splat arg thi that arg can encod array thi won work block argument hasn been receiv yet
jruby-1.4.0,DEFECT,todo don requir pop
jruby-1.4.0,DEFECT,fixm got bunch npe when didn check null here how
jruby-1.4.0,DEFECT,todo don requir pop
jruby-1.4.0,DEFECT,sss fixm there also differ variabl scope between and rubi buggi semant understand correctli the semant how thi shadow other variabl outsid block need figur out dure live var analysi
jruby-1.4.0,DEFECT,todo don requir pop
jruby-1.4.0,DEFECT,todo don requir pop
jruby-1.4.0,DEFECT,thi getopt with one mandatori arg but did not work pars now
jruby-1.4.0,DEFECT,thi result bug that left off all trail argument system ls dir would seen system ls
jruby-1.4.0,DEFECT,fixm broken but behav
jruby-1.4.0,DEFECT,todo overflow larg file we could increas long limit thi but then impl get more involv sinc java api base int mean have chunk long into seri int op
jruby-1.4.0,DEFECT,todo don requir pop
jruby-1.4.0,DEFECT,outgrow our pushback stack then grow thi should onli happen pretti patholog case
jruby-1.4.0,DEFECT,todo don requir pop
jruby-1.4.0,DEFECT,fixm arg may also true fals and nil and still valid strang enough protocol convers not happen rubi thi arg
jruby-1.4.0,DEFECT,todo proper sign
jruby-1.4.0,DEFECT,get valu from current scope one it captur scope fixm block variabl not get prime nil need null check those until prime them properli also add assert back in param offset zero index valu that repres where variabl live param depth how mani captur scope down thi variabl should set return valu here
jruby-1.4.0,DEFECT,todo don requir pop
jruby-1.4.0,DEFECT,todo mri explicit check neg length ad here indexerror rais when length neg see rubi core more detail new note thi actual under re evalu see rubi core
jruby-1.4.0,DEFECT,todo don requir pop
jruby-1.4.0,DEFECT,enebo veri wrong
jruby-1.4.0,DEFECT,todo don requir pop
jruby-1.4.0,DEFECT,fixm termin immedi thi appear break while method argument need push nil case where will never enter bodi
jruby-1.4.0,DEFECT,fixm termin immedi thi appear break while method argument need push nil case where will never enter bodi
jruby-1.4.0,DEFECT,the follow constant captur pre known static call site jrubi implement method rubi class sss fixm note that use op match match and and op match match thi bug there
jruby-1.4.0,DEFECT,todo don requir pop
jruby-1.4.0,DEFECT,sss fixm thi doesn preserv origin order when claus could consid preserv order or mayb not sinc would have sort constant first ani case output jump tabl certain situat add bodi map emit later
jruby-1.4.0,DEFECT,todo don requir pop
jruby-1.4.0,DEFECT,sss fixm whi node be built use closur and not regular loop with branch thi ha implic inlin implement closur next break etc when each and block consum inlin togeth caller loop from each should becom normal loop without ani closur but thi implement for replac one closur with anoth
jruby-1.4.0,DEFECT,todo don requir pop
jruby-1.4.0,DEFECT,synchron method per jrubi unsaf doubl check lock fixm synchron still wrong code
jruby-1.4.0,DEFECT,todo don requir pop
jruby-1.4.0,DEFECT,vultur thread will period expung dead entri entri also expung dure oper thi design cover case where mani object creat initi follow limit put activ fixm disabl below pend resolut final issu
jruby-1.4.0,DEFECT,todo don requir pop
jruby-1.4.0,DEFECT,get valu from current scope one it captur scope fixm block variabl not get prime nil need null check those until prime them properli also add assert back in param offset zero index valu that repres where variabl live param depth how mani captur scope down thi variabl should set return valu here
jruby-1.4.0,DEFECT,todo don requir pop
jruby-1.4.0,DEFECT,fixm assum that origin string will raw byte ku provid thi will not true but that now deal with that when someon need it
jruby-1.4.0,DEFECT,todo don requir pop
jruby-1.4.0,DEFECT,todo rubi lock string here
jruby-1.4.0,DEFECT,todo don requir pop
jruby-1.4.0,DEFECT,todo rubicon testkernel die without thi line cursori glanc impli fals set nil and thi set back someth valid thi should get fix same time address bug
jruby-1.4.0,DEFECT,todo don requir pop
jruby-1.4.0,DEFECT,mri behavior thi combin flag not allow
jruby-1.4.0,DEFECT,todo don requir pop
jruby-1.4.0,DEFECT,zero arg with block fixm omit arg index subtract one from normal block index
jruby-1.4.0,DEFECT,todo don requir pop
jruby-1.4.0,DEFECT,fixm may possibl killpg system which support it posix librari need tell whether particular method work not
jruby-1.4.0,DEFECT,todo don requir pop
jruby-1.4.0,DEFECT,todo thi code effect disabl all inspect base optim none them safe yet
jruby-1.4.0,DEFECT,todo don requir pop
jruby-1.4.0,DEFECT,fixm argument seem work mri plu thi should not siphon off addit arg script foo also better error process
jruby-1.4.0,DEFECT,todo don requir pop
jruby-1.4.0,DEFECT,todo don requir pop
jruby-1.4.0,DEFECT,todo don requir pop
jruby-1.4.0,DEFECT,eval with bind break out earli fixm thi broken with new backtrac stuff
jruby-1.4.0,DEFECT,todo don requir pop
jruby-1.4.0,DEFECT,todo don requir pop
jruby-1.4.0,DEFECT,todo don requir pop
jruby-1.4.0,DEFECT,todo don requir pop
jruby-1.4.0,DEFECT,todo don requir pop
jruby-1.4.0,DEFECT,todo don requir pop
jruby-1.4.0,DEFECT,todo don requir pop
jruby-1.4.0,DEFECT,todo don requir pop
jruby-1.4.0,DEFECT,todo don requir pop
jruby-1.4.0,DEFECT,todo don requir pop
jruby-1.4.0,DEFECT,todo don requir pop
jruby-1.4.0,DEFECT,todo don requir pop
jruby-1.4.0,DEFECT,todo don requir pop
jruby-1.4.0,DEFECT,todo don requir pop
jruby-1.4.0,DEFECT,todo don requir pop
