projectname,classification,preprocess_comments
sql12,DEFECT,todo thi bug code moment tabl test isn qualifi then thi test pass need beef qualifi tablenam handl
sql12,DEFECT,cast int requir doesn appear anyth jdk
sql12,DEFECT,thi won work derbi where non varchar column cannot alter among other restrict tablecolumninfo nullintvc true defval varchar comment string altercoltypesql nullintvc runsql session altercoltypesql
sql12,DEFECT,the follow queri produc result that should edit but current isn
sql12,DEFECT,know thi fail bug
sql12,DEFECT,need run twice background and foreground color onli work run after super call but font onli work run befor super call may bug jdk
sql12,DEFECT,todo remov thi when frontbas bug get fix for some reason frontbas renam uniqu index gener valu sinc don know what that new name index is skip drop now
sql12,DEFECT,fail db linux howev window fixpak driver work without except also linux server with driver work fine well
sql12,DEFECT,bug ms sql inconsist with regard set current catalog you have databas with period space then some case you must surround catalog with quot for exampl you have catalog name with space you must execut follow sql use db with space howev same not alway true jdbc api method for some old version microsoft driver you must quot catalog well but newer version driver you must not quot catalog here attempt use unquot version first then that fail will tri quot it
sql12,DEFECT,thi here becaus won work when schema info still load
sql12,DEFECT,thi work onli jdk with jdk font will bold all swingset theme see also swingset demo jdk and jdk
sql12,DEFECT,these don appear work
sql12,DEFECT,connect databas then thi fine howev when use mockobject thi problemat sinc there mani unimpl method mockobject implement that requir thi
sql12,DEFECT,issu after import data could tell user that ha been success import thi would give good posit feedback howev would mean that they need click yet anoth button dismiss that messag other hand sinc oper synchron user cannot proceed anyth until done assum that import usual work correctli unless they shown error messag then not need to display anyth here
sql12,DEFECT,todo thi won work when column ha valu with quot them use preparedstat instead
sql12,DEFECT,todo when earliest version support includ follow line here the scroll wheel function import eas use but the function not avail java
sql12,DEFECT,case thi call awt thread log messag thi most likey bug
sql12,DEFECT,bug veri import get uri from url and not simpli new case where path contain space they get encod string return from url getfil java io file doesn know how deal with them replac them with space and result file render non exist
sql12,DEFECT,cast int requir doesn appear anyth jdk
sql12,DEFECT,don alway show scrollbar whole flicker like hell
sql12,DEFECT,bug alway use fals unless user specifi otherwis thi break date edit derbi possibl db well
sql12,DEFECT,some laf don work under java later
sql12,DEFECT,todo setup titl correctli
sql12,DEFECT,case thi call awt thread log messag thi most likey bug
sql12,DESIGN,todo these should handl with iter
sql12,DESIGN,todo verifi thi correct
sql12,DESIGN,for now use same render everyon els futur chang thi use new instanc render thi data type
sql12,DESIGN,todo thi should handl with iter
sql12,DESIGN,creat march am adapt from colin bell todo chang name
sql12,DESIGN,todo need thi one
