projectname,classification,preprocess_comments
apache-ant-1.7.0,1,xxx realli don like thi xml processor still too process better solut imo would creat project and target too and then process tree and have project target deal with it attribut similar with descript eventu switch add support dom thing will work smoothli can avoid almost complet could still creat demand backward compat
apache-ant-1.7.0,1,junit wrap solo test thi way can extract origin test name with littl hack
apache-ant-1.7.0,1,xxx ignor attribut differ mayb store them
apache-ant-1.7.0,1,borrow from tokenfiltertest
apache-ant-1.7.0,1,xxx move project share all helper
apache-ant-1.7.0,1,what properti suppos be
apache-ant-1.7.0,1,pr hack ant type valu ant type compon name which can namespac need extract name and convert from qualifi name uri name
apache-ant-1.7.0,1,there conveni xsltc class version but data privat use packag inform
apache-ant-1.7.0,1,stolen from xerc team which ascii charact need escap
apache-ant-1.7.0,1,bingo append it thi should normal not done here
apache-ant-1.7.0,1,thi faintli ridicul
apache-ant-1.7.0,1,cannot remov underscor due protect visibl
apache-ant-1.7.0,1,todo not read yet public setter
apache-ant-1.7.0,1,pr not know what object class ha multipl defin but thi log onli
apache-ant-1.7.0,1,not sure what could need thi
apache-ant-1.7.0,1,xxx jon skeet ani reason write messag and then use bare runtimeexcept rather than just use buildexcept here case messag could end be written logger as logger could have fail creat due thi failur
apache-ant-1.7.0,1,will remov
apache-ant-1.7.0,1,xxx should instead make new protectiondomain with codesourc correspond and same had
apache-ant-1.7.0,1,thi realli irrit need way set stuff
apache-ant-1.7.0,1,xxx all thi convert sourc destin directori accord weblog standard can written better thi too hacki
apache-ant-1.7.0,1,silli hack avoid stack overflow
apache-ant-1.7.0,1,access properti tabl thi use support ant call and similar task should deprec possibl use better more effici mechan preserv context
apache-ant-1.7.0,1,xxx should throw except instead
apache-ant-1.7.0,1,temporari until figur better api
apache-ant-1.7.0,1,there better way save context thi shouldn deleg next it backward compat onli
apache-ant-1.7.0,1,quick fix ant java use properti befor initi project
apache-ant-1.7.0,1,xxx should use jcv
apache-ant-1.7.0,1,two reason mention api doc file list dir not directori thi imposs as wouldn get here thi case error occur whi doesn throw except then
apache-ant-1.7.0,1,jakarta common log listen note not use simplelog your logger implement it caus infinit loop sinc write system err which ant trap and rerout logger listen layer the follow name use log project event target event event individu target all target and project name replac and with todo should use advanc context log featur and expos them first todo thi veri ineffici switch out and track log can optim lot but may requir few more chang core sinc ant
apache-ant-1.7.0,1,todo use tasknam here brittl user could overrid it thi should probabl modifi use classnam instead
apache-ant-1.7.0,1,these patholog case but retain case somebodi subclass us
apache-ant-1.7.0,1,thi rather hairi case one our subclass know that need updat the archiv but same time there resourc known that would need ad onli the subclass seem know what go on thi happen jar detect that manifest ha chang exampl the manifest not part ani resourc becaus our support inlin manifest invok createemptyzip like ant did we loos all stuff that ha been origin archiv bugzilla report
apache-ant-1.7.0,1,thi deprec use classespath futur
apache-ant-1.7.0,1,xxx thi array stuff remnant prev trial gotta remov
apache-ant-1.7.0,1,set number millisecond leeway give befor decid target out date todo thi not yet use param granular granular use decid target out of date
apache-ant-1.7.0,1,thi may chang add advanc pars capabl
apache-ant-1.7.0,1,assum that everi output jike doe stand error warn xxx thi correct
apache-ant-1.7.0,1,the line below hack system must uri but not cleat get uri resourc just set name resourc system
apache-ant-1.7.0,1,xxx what follow do should run javadoc execut null
apache-ant-1.7.0,1,mac and previou todo have idea how get it someon must fix
apache-ant-1.7.0,1,todo noth appear read thi but set use public setter
apache-ant-1.7.0,1,xxx commit combiningchar and extend here
apache-ant-1.7.0,1,xxx fail load class properli should print warn here
apache-ant-1.7.0,1,xxx could perhap also call thread stop not sure anyon care
apache-ant-1.7.0,1,xxx perhap shouldn use properti these three option emac mode warn and pedant but includ javac direct
apache-ant-1.7.0,1,xxx mayb use reflect addpathel other pattern
apache-ant-1.7.0,1,todo there problem with constructor rbc you have provid rule constructor setter avail
apache-ant-1.7.0,1,probabl not best choic but solv problem rel path classpath
apache-ant-1.7.0,1,fix invalid charact you think more add list
apache-ant-1.7.0,1,fallback case have troubl load class or don know how handl there easi way to know what idl mode would gener thi suppos make ant alway recompil the class file that name should not exist
apache-ant-1.7.0,1,check out also ugli
apache-ant-1.7.0,1,can get head around thi encod treatment need here
apache-ant-1.7.0,1,quick dirti make nest map set work
apache-ant-1.7.0,1,xxx thi code still necessari there ani port pull zip from packag directori
apache-ant-1.7.0,1,onli develop know what he do
apache-ant-1.7.0,1,xxx unfortun jdk add entryset keyset valu implement thi requir small hack can add later
apache-ant-1.7.0,1,first develop could use littl help
apache-ant-1.7.0,1,xxx should throw except instead
apache-ant-1.7.0,1,xxx should throw except instead
apache-ant-1.7.0,1,xxx should throw except instead
apache-ant-1.7.0,1,xxx should silent catch possibl except and tri load differ implement
apache-ant-1.7.0,1,xxx should silent catch possibl except and tri load differ implement
apache-ant-1.7.0,1,sinc java return workaround java
apache-ant-1.7.0,1,hammer end inlin maingtu
apache-ant-1.7.0,1,thi array realli shouldn here again histor purpos is fixm thi array should privat packag privat locat sinc could modifi malici code
apache-ant-1.7.0,1,should move separ public class and have api add listen etc
apache-ant-1.7.0,1,should becom singl empti argument same
apache-ant-1.7.0,1,not veri nice but will job
apache-ant-1.7.0,1,provid public visibl
apache-ant-1.7.0,1,not use but public theoret must remain bc
apache-ant-1.7.0,1,don want call thi method
apache-ant-1.7.0,1,xxx what thi for
apache-ant-1.7.0,1,keep thi have someth delet later test
apache-ant-1.7.0,1,copi from concattest
apache-ant-1.7.0,1,not sure whether thi clean but thi method declar not throw except
apache-ant-1.7.0,1,just set prefix thi fileset and pass up need thi
apache-ant-1.7.0,1,whi noth
apache-ant-1.7.0,1,have deal with assembl the programm can write littl byte chunk all know and must assembl complet record write review mayb thi should tarbuff could that help elimin some buffer copi
apache-ant-1.7.0,1,thi new better way use classespath instead sourcespath the code current same you need class file directori use thi jar file
apache-ant-1.7.0,1,xxx whi not simpli new file dir filenam
apache-ant-1.7.0,1,thi ugli check root folder
apache-ant-1.7.0,1,todo parameteris call compil class dont want fork again use classic compil can parameteris
apache-ant-1.7.0,1,xxx all thi get packag accord weblog standard can written better thi too hacki care similar code scandir but slightli differ
apache-ant-1.7.0,1,stolen from writemanifest
apache-ant-1.7.0,1,jarfil alreadi exist then whack and recreat it should probabl think more eleg way handl thi that case error don leav peopl wors off than when start
apache-ant-1.7.0,1,xxx follow realli necessari same thread group
apache-ant-1.7.0,1,have find cleaner way put thi output
apache-ant-1.7.0,1,thi old way and deprec classespath right way thi and abov
apache-ant-1.7.0,1,for script exampl that modifi id task other target work veri ugli the refer replac runtimeconfigur
apache-ant-1.7.0,1,don call super close becaus that reader use other place
apache-ant-1.7.0,1,report error someth weird happen thi diagnost
apache-ant-1.7.0,1,sorri otherwis will get classcastexcept becaus mockcach load two differ classload
apache-ant-1.7.0,1,hack ask creat instanc voluntarili provid illeg argument forc run class static initi while same time not run valid constructor
apache-ant-1.7.0,1,singleton now may chang per classload
