projectname,classification,preprocess_comments
columba-1.4-src,1,todo author fdietz should remov onli use stream
columba-1.4-src,1,fixm author karlped proper version html refer to
columba-1.4-src,1,thi hack multilin column
columba-1.4-src,1,todo author tstich someth
columba-1.4-src,1,todo author fdietz in
columba-1.4-src,1,fixm remov method toolbarpan add
columba-1.4-src,1,todo author fdietz in
columba-1.4-src,1,todo author fdietz in
columba-1.4-src,1,todo author hubm copi from frederik search builder
columba-1.4-src,1,real stupid recreat whole list model replac with id base listmodel updat
columba-1.4-src,1,todo author karlped extend handl special entiti
columba-1.4-src,1,transform email address into html just as but tri ignor email address which alreadi link ignor link flag set br thi extend function necessari when pars text which alreadi partli html br fixm can thi done smarter directli with reg expr without manual pars param input text param ignorelink true link tag ignor thi give wrong result some mail adress are alreadi link but use reg expr directli and therefor faster return text with email adress transform link
columba-1.4-src,1,todo return content encod accord mime part mail
columba-1.4-src,1,todo return content type accord mime part mail
columba-1.4-src,1,hack support dockabl view titl updat todo replac with listen pattern
columba-1.4-src,1,todo stop poll thread
columba-1.4-src,1,todo author hubm bad there icon tag not
columba-1.4-src,1,todo categoryenumer
columba-1.4-src,1,hack start and end time all day event
columba-1.4-src,1,regist interest store chang todo depend should other way around
columba-1.4-src,1,todo fix layout look good even there not enough inform provid
columba-1.4-src,1,todo author fdietz in
columba-1.4-src,1,fixm ugli cast contactmodel
columba-1.4-src,1,todo dont use deprec method
columba-1.4-src,1,todo must get poll interv from config file
columba-1.4-src,1,todo reactiv when featur support
columba-1.4-src,1,thi folder ha children add them todo futur should tri fetch addit children demand when tree dialog open
columba-1.4-src,1,todo author fdietz add more special entiti accentur char such
columba-1.4-src,1,todo author waffel encrypt and sign dosn work the messag alway onli encrypt need function that know here encrypt and sign messag thu first encyrpt and then verifysign messag thi messag sign encrypt have use gnupg extract decrypt bodypart multipart encrypt multipart sign
columba-1.4-src,1,transform url into html just but tri ignor url which alreadi link ignor link flag set br thi extend function necessari when pars text which alreadi partli html br fixm can thi done smarter directli with reg expr without manual pars param input text param ignorelink true link tag ignor thi give wrong result some url alreadi link but use reg expr directli and is therefor faster return text with url
columba-1.4-src,1,todo author fdietz ensur that don fetch individu header reduc client server roundtrip
columba-1.4-src,1,bad have releas hardocod here fix later right
columba-1.4-src,1,todo author fdietz in
columba-1.4-src,1,todo author fdietz in
columba-1.4-src,1,hack start and end time all day event
columba-1.4-src,1,todo open stream from mime part specifi contentid current view mail
columba-1.4-src,1,someth veri wrong here
columba-1.4-src,1,it mayb better leav thi option out dialog make configur xml file anyway
columba-1.4-src,1,todo author fdietz in
columba-1.4-src,1,todo make thi hack more in compat
columba-1.4-src,1,todo author fdietz in
columba-1.4-src,1,todo move resourc resourc file
columba-1.4-src,1,todo use undoableeditev make thi realli work
columba-1.4-src,1,todo should take some action ensur signatur valid html
columba-1.4-src,1,xxx should thi fire differ thread
columba-1.4-src,1,todo add configur cach size
