projectname,classification,preprocess_comments
emf-2.4.1,1,todo factor into genbaseimpl
emf-2.4.1,1,eatm call deprec method which doe same thing but might have overrid older code
emf-2.4.1,1,todo factor into genbaseimpl
emf-2.4.1,1,unus
emf-2.4.1,1,todo factor into genbaseimpl
emf-2.4.1,1,call workaround
emf-2.4.1,1,todo deprec sinc getpluginclass longer call
emf-2.4.1,1,ensur that thi race condit thread safe doesn matter who win race
emf-2.4.1,1,todo factor into genbaseimpl
emf-2.4.1,1,todo thi assum onli get set notif which isn good assumpt
emf-2.4.1,1,dm handl thi well
emf-2.4.1,1,unus
emf-2.4.1,1,fb tbd can come with better algorithm choos default label featur
emf-2.4.1,1,dm should let thi except out
emf-2.4.1,1,dm what eclips run but invalid facad ha been specifi still should format code use encod
emf-2.4.1,1,dm better job with specif except just use chain runtimeexcept
emf-2.4.1,1,deleg uri can handl file we hope that renam will realli effici
emf-2.4.1,1,dm whi not thi new
emf-2.4.1,1,assum that it attribut now will could becom refer type resolv eclass
emf-2.4.1,1,noth now and avoid propag except how should builder handl cancel
emf-2.4.1,1,thi fall back howev thi should never call
emf-2.4.1,1,todo fix space abov
emf-2.4.1,1,todo remov thi bogu empti line
emf-2.4.1,1,todo handl class cast except better
emf-2.4.1,1,don know should run thi defer becaus might have give editor chanc process viewer updat event and henc updat view first
emf-2.4.1,1,thi big fester hack make imag right size from start
emf-2.4.1,1,eatm demand creat metadata need depend process mode
emf-2.4.1,1,todo thi realli quit attroci sinc there code that will assum iter that return string
emf-2.4.1,1,tbd return user select subset referenc packag that contain super class class thi packag
emf-2.4.1,1,call workaround
emf-2.4.1,1,tbd rethink where exactli some follow method belong genmodel genpackag
emf-2.4.1,1,there multipl variabl declar separ thi variabl fragment into separ declar
emf-2.4.1,1,eatm thi would wrong
emf-2.4.1,1,call workaround
emf-2.4.1,1,revisit remov thi code
emf-2.4.1,1,the label not use
emf-2.4.1,1,dm whi not thi new
emf-2.4.1,1,motif kludg would get someth random instead null
emf-2.4.1,1,todo what should etyp now
emf-2.4.1,1,thi run oper and show progress it appear bad thing fork thi onto anoth thread
emf-2.4.1,1,eatm kind hacki
emf-2.4.1,1,dm whi not thi new
emf-2.4.1,1,dm whi not thi new
emf-2.4.1,1,thi run oper and show progress it appear bad thing fork thi onto anoth thread
