projectname,classification,preprocess_comments
hibernate-distribution-3.3.2.GA,1,use count default thi mimic old behavior although none might better option move forward case callabl
hibernate-distribution-3.3.2.GA,1,perhap not realli necessari
hibernate-distribution-3.3.2.GA,1,todo what els here
hibernate-distribution-3.3.2.GA,1,todo disabl batch load lockmod read
hibernate-distribution-3.3.2.GA,1,todo what els here
hibernate-distribution-3.3.2.GA,1,todo handl concurr write correctli client should pass lock
hibernate-distribution-3.3.2.GA,1,turn hibern cp into cp cp get chanc see all hibern cp
hibernate-distribution-3.3.2.GA,1,note there wierd implement client side
hibernate-distribution-3.3.2.GA,1,todo thi ad support initi entiti entityentri snapshot dure reattach thi should refactor instead expos method assembl entityentri base thi state return
hibernate-distribution-3.3.2.GA,1,need drop constraint befor drop tabl thi dialect
hibernate-distribution-3.3.2.GA,1,fixm per regionfactori class javadoc thi constructor version should not necessari param prop the configur properti
hibernate-distribution-3.3.2.GA,1,doe thi dialect support check constraint
hibernate-distribution-3.3.2.GA,1,thi call sessionfactori irregardless just disregard here could also add check sessionfactori onli condit call start
hibernate-distribution-3.3.2.GA,1,doe thi dialect support uniqu column syntax
hibernate-distribution-3.3.2.GA,1,thi done here might onli know type here ugli todo improv thi lot
hibernate-distribution-3.3.2.GA,1,doe thi dialect support for updat syntax
hibernate-distribution-3.3.2.GA,1,todo what implic thi
hibernate-distribution-3.3.2.GA,1,todo yuck
hibernate-distribution-3.3.2.GA,1,todo again how should thi work non pojo entiti
hibernate-distribution-3.3.2.GA,1,doe thi dialect support for updat of allow particular row lock
hibernate-distribution-3.3.2.GA,1,todo realli bad evil hack fix
hibernate-distribution-3.3.2.GA,1,fals fals todo kosher here todo kosher here
hibernate-distribution-3.3.2.GA,1,todo better degrad lazi fals uninstru
hibernate-distribution-3.3.2.GA,1,doe thi dialect support oracl style for updat nowait syntax
hibernate-distribution-3.3.2.GA,1,fixm per regionfactori class javadoc thi constructor version should not necessari param prop the configur properti
hibernate-distribution-3.3.2.GA,1,icki workaround mysql bug
hibernate-distribution-3.3.2.GA,1,have set tabl later yuck
hibernate-distribution-3.3.2.GA,1,todo somehow add newli creat foreign key intern collect
hibernate-distribution-3.3.2.GA,1,thi inner class implement case be bit over clever here
hibernate-distribution-3.3.2.GA,1,todo merg into one method
hibernate-distribution-3.3.2.GA,1,todo thi bit copi past from
hibernate-distribution-3.3.2.GA,1,todo what type
hibernate-distribution-3.3.2.GA,1,todo ineffici
hibernate-distribution-3.3.2.GA,1,fixm get persistentclass
hibernate-distribution-3.3.2.GA,1,todo can remov thi onc deprec ctor can made privat
hibernate-distribution-3.3.2.GA,1,todo thi too conserv all preced join also inner join could use inner join here
hibernate-distribution-3.3.2.GA,1,todo redesign how propertyaccessor acquir
