projectname,classification,preprocess_comments
jfreechart-1.0.19,1,thi may neg
jfreechart-1.0.19,1,todo implement
jfreechart-1.0.19,1,todo subplot area need move out plot into plot state
jfreechart-1.0.19,1,todo shift block down bottom
jfreechart-1.0.19,1,todo might good idea keep refer color specifi setpaint setcolor rather than creat new object everi time getpaint call
jfreechart-1.0.19,1,todo now ignor height constraint
jfreechart-1.0.19,1,first determin size chart render area todo workout inset swt
jfreechart-1.0.19,1,todo implement properli
jfreechart-1.0.19,1,todo thi must wrong
jfreechart-1.0.19,1,todo didn check width yet
jfreechart-1.0.19,1,hack ensur newli creat awt font will render with same height swt one
jfreechart-1.0.19,1,todo shift block right half
jfreechart-1.0.19,1,fixm need local well timezon
jfreechart-1.0.19,1,todo shift block over right
jfreechart-1.0.19,1,need updat crosshair valu
jfreechart-1.0.19,1,todo find better local key
jfreechart-1.0.19,1,todo thi attribut should transfer render state
jfreechart-1.0.19,1,fixm implement thi low prioriti
jfreechart-1.0.19,1,fixm xyitemrender interfac doesn specifi getannot method but should
jfreechart-1.0.19,1,defer argument check
jfreechart-1.0.19,1,calcul adjust data area take into account effect thi assum that there render all thi effect bit ugli hack
jfreechart-1.0.19,1,todo add constructor combin number and date formatt
jfreechart-1.0.19,1,defer argument check
jfreechart-1.0.19,1,todo move plot state
jfreechart-1.0.19,1,here tweak notifi flag plot that onli one notif happen even though updat multipl axe
jfreechart-1.0.19,1,defer argument check
jfreechart-1.0.19,1,fixm should realli assert valu here
jfreechart-1.0.19,1,do these annot onli work with xyplot see possibl make contourplot subclass xyplot dg
jfreechart-1.0.19,1,fixm should realli assert valu
jfreechart-1.0.19,1,need updat crosshair valu
jfreechart-1.0.19,1,not strictli necessari sinc render set parent plot not use
jfreechart-1.0.19,1,need updat crosshair valu
jfreechart-1.0.19,1,todo complet thi
jfreechart-1.0.19,1,todo implement
jfreechart-1.0.19,1,defer argument check
jfreechart-1.0.19,1,todo implement
jfreechart-1.0.19,1,defer argument check
jfreechart-1.0.19,1,todo implement
jfreechart-1.0.19,1,need updat crosshair valu
jfreechart-1.0.19,1,todo fix output when thi flag set true
jfreechart-1.0.19,1,todo now ignor height constraint
jfreechart-1.0.19,1,todo move abov plot state
jfreechart-1.0.19,1,defer argument check
jfreechart-1.0.19,1,fixm thi code mean that not possibl use more than one domain axi combin plot
jfreechart-1.0.19,1,here tweak notifi flag plot that onli one notif happen even though updat multipl axe
jfreechart-1.0.19,1,not strictli necessari sinc render set parent plot not use
jfreechart-1.0.19,1,here tweak notifi flag plot that onli one notif happen even though updat multipl axe
jfreechart-1.0.19,1,end workaround
jfreechart-1.0.19,1,defer argument check
jfreechart-1.0.19,1,todo could chang thi itemfillpaint for backward compat might requir usefillpaint flag
jfreechart-1.0.19,1,redraw should not trigger anoth chang event
jfreechart-1.0.19,1,unus parent
jfreechart-1.0.19,1,todo thi attribut should transfer render state
jfreechart-1.0.19,1,defer argument check
jfreechart-1.0.19,1,todo jfreechart put thi method interfac
jfreechart-1.0.19,1,todo rotat imag when drawn with horizont orient
jfreechart-1.0.19,1,defer argument check
jfreechart-1.0.19,1,defer argument check
jfreechart-1.0.19,1,defer argument check
jfreechart-1.0.19,1,defer argument check
jfreechart-1.0.19,1,todo implement thi properli
jfreechart-1.0.19,1,fixm thi should gener seri chang event
jfreechart-1.0.19,1,defer argument check
jfreechart-1.0.19,1,defer argument check
jfreechart-1.0.19,1,defer argument check
jfreechart-1.0.19,1,defer argument check
jfreechart-1.0.19,1,fixm should realli assert valu here
