projectname,classification,preprocess_comments
jruby-1.4.0,1,basic ignor protocol let someon report it
jruby-1.4.0,1,sss fixm thi correct
jruby-1.4.0,1,fixm use block implement end node becaus need proc which captur it enclos scope forblock now repres these node and should renam
jruby-1.4.0,1,sss fixm order correct poll befor next
jruby-1.4.0,1,use highli uncommon string repres paragraph delimit soln not worth it
jruby-1.4.0,1,add self recv here todo thi right
jruby-1.4.0,1,todo mri behavior call add depend call but thi lead except when float ad see return op true thi mri behavior we use our now thu provid abil add float
jruby-1.4.0,1,sss fixm thi correctli place end loop iter
jruby-1.4.0,1,todo rubi reus thi logic other write behavior check it and call write again
jruby-1.4.0,1,sss fixm where doe thi go
jruby-1.4.0,1,would nice and logic expon form behav like and decim form behav like but such luck henc
jruby-1.4.0,1,sss fixm these should get normal compil initi some other way sss fixm parent super type info incorrect these just placehold now thi need updat with real class object later
jruby-1.4.0,1,todo probabl here confirm jrubi
jruby-1.4.0,1,sss fixm could make ir loop scope too semant scope but function not sure thi requir yet
jruby-1.4.0,1,thi cover rare case lower case class name and thu will fail time fortun we onli thi onc per packag name and serious folk look into best practic
jruby-1.4.0,1,sss fixm should thi string liter string dummi class script
jruby-1.4.0,1,todo should thi deprec to effici intern should deal with rubyhash directli
jruby-1.4.0,1,sss fixm doe int suffic need long
jruby-1.4.0,1,modul includ with shim class must find that shim handl super appropri
jruby-1.4.0,1,reset valu map thi instruct start end basic block right now call consid hard boundari optim and inform cannot propag across them sss fixm rather than treat all call with broad brush what need captur differ attribut about call use closur known call target can modifi scope etc thi inform probabl alreadi present ast inspector
jruby-1.4.0,1,todo determin whether should perhap store non singleton class implementationclass
jruby-1.4.0,1,sss fixm correct where doe closur arg come from
jruby-1.4.0,1,fixm consid fix node assign itself rather than singl case
jruby-1.4.0,1,sss fixm should have refer ir loop that be retri
jruby-1.4.0,1,temporari hack handl non rubi valu will come with better solut shortli
jruby-1.4.0,1,simplifi variabl too keep these variabl sync with what actual use when claus thi not requir correct reason but onli perform reason
jruby-1.4.0,1,must call from main thread it current but thi bother me
jruby-1.4.0,1,con fixm don know how make case express doe that logic need here
jruby-1.4.0,1,fixm legal here may want
jruby-1.4.0,1,fixm thi ugli hack resolv jrubi not proud
jruby-1.4.0,1,someth wrong don know cwd todo thi behavior realli desir mov
jruby-1.4.0,1,todo java stringiti
jruby-1.4.0,1,fixm total hack get flash rail session ok we need total chang marshal work with overridden core class
jruby-1.4.0,1,todo thi method not present mri
jruby-1.4.0,1,fixm ideal javaobject instanc should marshal which mean that javaobject metaclass should have appropri alloc jrubi
jruby-1.4.0,1,todo public onli
jruby-1.4.0,1,fixm thi should probabl some translat from rubi prioriti level java prioriti level until have green thread
jruby-1.4.0,1,todo consid better way synchron
jruby-1.4.0,1,use ioinputstream may not most perform way but it easi
jruby-1.4.0,1,fixm should not regener thi over and over
jruby-1.4.0,1,xxx thi check previous use callmethod check equal between class when scan hierarchi howev check may safe should onli ever have one instanc bound given type constant it found unsaf examin way avoid call
jruby-1.4.0,1,todo probabl here confirm jrubi
jruby-1.4.0,1,todo whi duplic constant here and then file constant below file constant includ io
jruby-1.4.0,1,clone method now belong new class set it todo make dynamicmethod immut
jruby-1.4.0,1,todo these miss we not handl them elsewher
jruby-1.4.0,1,todo cach
jruby-1.4.0,1,fixm wtf thi whi would these use class
jruby-1.4.0,1,todo figur out how thi can happen and possibl remov
jruby-1.4.0,1,fixm don like thi
jruby-1.4.0,1,fixm these descript should probabl move out constantin project which deal with all platform depend constant
jruby-1.4.0,1,fixm thi below temporari but it much safer cow it prevent not share string with begin thi allow now bytelist set not begin awar
jruby-1.4.0,1,todo what about arg
jruby-1.4.0,1,fixm think thi chunk equival mri idnam and not our public method idnam make into method use more than onc
jruby-1.4.0,1,todo cach
jruby-1.4.0,1,fixm thi probabl not veri effici sinc load all method each call
jruby-1.4.0,1,hack replac usual readlin with thi
jruby-1.4.0,1,get here found match method use todo choos narrowest method continu search
jruby-1.4.0,1,todo thi kinda gross
jruby-1.4.0,1,fixm order thread play well with standard behavior must provid alloc that can creat empti object instanc which initi then fill with appropri data
jruby-1.4.0,1,these extra array realli unfortun split some these path out elimin
jruby-1.4.0,1,clone dynam scope becaus thi will new instanc block ani previous captur instanc thi block may still around and not want start overwrit those valu when creat new one enebo onc make self lastclass and lastmethod immut can remov duplic
jruby-1.4.0,1,todo protect method thi go requir rework some mechan
jruby-1.4.0,1,not overload add method that guess which signatur use todo just ad first one right now add signatur guess logic
jruby-1.4.0,1,sss fixm thi should never get call constant svalu
jruby-1.4.0,1,todo thi version better than hackish previou one window behavior need defin though suppos thi version could improv more too todo etc passwd also inadequ macosx sinc doe not use etc passwd regular user account
jruby-1.4.0,1,fixm there some code duplic here with rubyobject inspect
jruby-1.4.0,1,visibl check without requir frame self todo don bother pass when fcall vcall and adjust callsit appropri
jruby-1.4.0,1,fixm figur out whi get null sometim
jruby-1.4.0,1,hacki advanc posit eat newlin here
jruby-1.4.0,1,need reexamin thi
jruby-1.4.0,1,fixm thi current onli here becaus some problem with iooutputstream write bare runtim without proper scope
jruby-1.4.0,1,workaround jrubi
jruby-1.4.0,1,use iooutputstream may not most perform way but it easi
jruby-1.4.0,1,ignor bean doesn get regist todo whi doe that bother me
jruby-1.4.0,1,todo probabl here confirm jrubi
