projectname,classification,preprocess_comments
sql12,1,todo these should handl with iter
sql12,1,todo verifi thi correct
sql12,1,for now use same render everyon els futur chang thi use new instanc render thi data type
sql12,1,todo thi should handl with iter
sql12,1,creat march am adapt from colin bell todo chang name
sql12,1,todo need thi one
sql12,1,jason need these
sql12,1,todo need thi one
sql12,1,for now use same render everyon els futur chang thi use new instanc reneder thi data type
sql12,1,bad convert url file thi way problemat when file path contain space
sql12,1,jason remov
sql12,1,todo thi nasti quick hack need api thi
sql12,1,todo delet thi class copyright colin bell thi librari free softwar you can redistribut and or modifi under term gnu lesser gener public licens publish free softwar foundat either version licens at your option ani later version thi librari distribut hope that will use but without ani warranti without even impli warranti of merchant fit for particular purpos see gnu lesser gener public licens more detail you should have receiv copi gnu lesser gener public licens along with thi librari not write free softwar foundat inc templ place suit boston usa
sql12,1,not use
sql12,1,todo hard code jdbc odbc bridg jdk bring back nvarchar column sql server tabl
sql12,1,hear evil see evil
sql12,1,when tri use length longvarbinari that max length sourc record get follow except except condit data except string data right truncat tri bit vari with data that had max length it back maximum length hard code now bit vari
sql12,1,todo thi right
sql12,1,todo thi should not public check all usag it and put appropri method api object
sql12,1,todo thi right
sql12,1,jason need these
sql12,1,jason need thi
sql12,1,todo need thi one
sql12,1,todo renam
sql12,1,todo hard code jdbc odbc bridg jdk bring back nvarchar column sql server tabl rowid oracl
sql12,1,set properti valu note thi may have alreadi been done anoth instanc thi datatyp creat handl differ column
sql12,1,alway add plugin there not good way compar plugin zip and their extract content moment todo determin best way deriv files and checksum plugin zip that last extract should keep around how about use current releas xml file come think it perhap shouldn comput checksum ani exist file whi don just get from current releas xml file
sql12,1,todo verifi thi
sql12,1,multipl row not good
sql12,1,extract thi out into class like
sql12,1,there ani way check invalid input valid input includ least ani printabl charact but could also includ unprint charact
sql12,1,cast not nice but framework doesn meet new requir
sql12,1,todo need thi one
sql12,1,end kludg
sql12,1,total hack type other can other type well
sql12,1,jason should part statu bar
sql12,1,getridofthi
sql12,1,don call super pack thi frame caus problem
sql12,1,todo delet
sql12,1,note some dbmss such oracl not allow select rowid from tabl you cannot have ani column name column claus you have there alias tabl name seem best way get around problem
sql12,1,display new dataset there cell editor oper tell cancel how doe thi impact popup display
sql12,1,kludg want some info about column avail valid user input dure cell edit oper ideal would get that info insid resultsetdataset class dure creation columndefinit object use variou function resultsetmetadata such isnul idx unfortun least some dbmss postgr hsdb result those call not same and less accur than call use columnstab get column info even more unfortun fact that set attribut report two call not same with resultsetmetadata list thing not provid getcolumn most data provid resultsetmetadata call correct howev properti not set correctli least two dbmss while correct those dbmss getcolumn info therefor collect collumn nullabl inform from getcolumn and pass that info resultset overrid what got from resultsetmetadata
sql12,1,util class that read and write releas info from to releas xml file todo spring inject when thi class spring bean
sql12,1,todo thi won work when column ha valu with quot them use preparedstat instead hmmm instead insert statement could not just creat sequenc and gener select statement that use sequenc pkid select distinct valu that would more effici approach that would also elimin thi quot problem
sql12,1,the follow onli work return and instanceof basemdiparentfram return and instanc dialog frame then other code must use
sql12,1,need somehow call someth like panel getpanel howev that doesn appli when user export from tabl content tabl there need more gener way thi all tabl contain data that export where some field contain placehold for now just inform user and let them either continu abort and chang configur manual re run queri reload tabl data and re export
sql12,1,split these function off into subclass basefavouriteact
sql12,1,todo renam thi gettabletyp
sql12,1,todo bizarr that couldn find valid sql drop index
sql12,1,todo dialog handl cancel
sql12,1,thi refactor depend follow api method getcreatetablesql
sql12,1,should probabl creat own tabl model but be bit slack
sql12,1,todo probabl want allow user set these sequenc properti sequenc set
sql12,1,set expect and checksum here sinc don have that inform releas xml file todo can use get byte size releas xml can perform thi check
sql12,1,here don complet understand how these type use all databas and haven yet had time implement support dialect them so thi exclud list will keep these less commonli use type from fail test also sinc not all these type appear java and current support compil code base with it use integ valu new type that introduc java rather than type constant name
sql12,1,todo delet thi class unus
sql12,1,todo find out whi kludg for some reason not abl get sheet to size correctli alway display with size that caus sub panel have their scrollbar show add bit increas size panel scrollbar not display
sql12,1,copi from java doc matcher replaceal note that backslash and dollar sign replac string may caus result differ than be treat liter replac string dollar sign may treat refer captur subsequ describ abov and backslash use escap liter charact replac string
sql12,1,todo clean thi mess up load plugin load all plugin jar into class loader
sql12,1,todo subclass these hibern dialect provid canpasteto api method hibernatedialect interfac privat static final dbdialect dbdialect new dbdialect
