,Precision,Recall,F1,Gmean,AUC
apache-ant-1.7.0.csv,0.597014034,0.421052188,0.493778049,0.646545752,0.892315032
apache-jmeter-2.10.csv,0.741697143,0.636075748,0.684788224,0.793852435,0.942775375
argouml.csv,0.595260607,0.784019877,0.676675005,0.862298443,0.965302618
columba-1.4-src.csv,0.714284929,0.515872606,0.599029094,0.71669182,0.985823056
emf-2.4.1.csv,0.492957052,0.448717373,0.469748143,0.666832616,0.940502145
hibernate-distribution-3.3.2.GA.csv,0.861659738,0.614084334,0.717056438,0.778150351,0.943138785
jEdit-4.2.csv,0.679999456,0.433673248,0.529547136,0.656458349,0.919287822
jfreechart-1.0.19.csv,0.478260454,0.298912881,0.367845399,0.542657228,0.717933035
jruby-1.4.0.csv,0.693779738,0.845480803,0.762105348,0.905678926,0.968723114
sql12.csv,0.576922707,0.430621804,0.493101474,0.65284443,0.942890024
,,,0.579367431,,
