,Precision,Recall,F1,Gmean,AUC
apache-ant-1.7.0.csv,0,0,0,0,0.875273435
apache-jmeter-2.10.csv,0,0,0,0,0.95529554
argouml.csv,0.384614398,0.036496341,0.06665081,0.190775374,0.919545149
columba-1.4-src.csv,0.448978676,0.511626717,0.478210048,0.713698702,0.992284855
emf-2.4.1.csv,0.49999375,0.249998438,0.333286117,0.499751397,0.882671647
hibernate-distribution-3.3.2.GA.csv,0.338461018,0.343749463,0.341034753,0.581782125,0.896690848
jEdit-4.2.csv,0,0,0,0,0.942423512
jfreechart-1.0.19.csv,0.099999667,0.199998667,0.133288311,0.445776423,0.9720956
jruby-1.4.0.csv,0.516127367,0.145454413,0.226915734,0.380751924,0.974353305
sql12.csv,0.297296494,0.21999956,0.252824108,0.468115621,0.978935557
,,,0.183220988,,
