,Precision,Recall,F1,Gmean,AUC
apache-ant-1.7.0.csv,0.356687671,0.589473064,44.44%,0.757364382,0.900655264
apache-jmeter-2.10.csv,0.75190811,0.623417524,68.16%,0.786175291,0.945473181
argouml.csv,0.59143323,0.896379414,71.26%,0.917956593,0.96921195
columba-1.4-src.csv,0.603305287,0.57936462,59.10%,0.758122983,0.974691929
emf-2.4.1.csv,0.494381467,0.564101841,52.69%,0.74681657,0.946981536
hibernate-distribution-3.3.2.GA.csv,0.804486922,0.707042054,75.26%,0.830573347,0.940508255
jEdit-4.2.csv,0.704917455,0.438775286,54.08%,0.660518133,0.930553186
jfreechart-1.0.19.csv,0.466666278,0.304347661,36.84%,0.547293232,0.663624192
jruby-1.4.0.csv,0.703608066,0.795918135,74.69%,0.880103583,0.971418378
sql12.csv,0.435293947,0.531100224,47.84%,0.720567348,0.93142491
,0.591268843,0.602991982,58.44%,0.760549146,0.917454278
