,Precision,Recall,F1,Gmean,AUC
apache-ant-1.7.0.csv,0.444439506,0.307689941,36.36%,55.43%,91.02%
apache-jmeter-2.10.csv,0.076922959,0.238094104,11.62%,48.61%,94.39%
argouml.csv,0.559523143,0.114355203,18.99%,33.74%,93.19%
columba-1.4-src.csv,0.35999952,0.627905516,45.76%,78.93%,99.12%
emf-2.4.1.csv,0.428565306,0.187498828,26.08%,43.28%,85.22%
hibernate-distribution-3.3.2.GA.csv,0.384614645,0.312499512,34.48%,55.58%,92.81%
jEdit-4.2.csv,0.333322223,0.071428061,11.76%,26.72%,93.88%
jfreechart-1.0.19.csv,0.075268736,0.466663556,12.96%,67.61%,95.46%
jruby-1.4.0.csv,0.299999667,0.245454322,27.00%,49.20%,95.23%
sql12.csv,0.346938067,0.33999932,34.34%,58.17%,97.30%
,,,25.93%,51.73%,93.76%
