,Precision,Recall,F1,Gmean,AUC
0,0.732600464,0.743494147,0.737957114,0.856331446,0.984215052
1,0.73550698,0.79296844,0.763107682,0.884378985,0.981380379
2,0.697160663,0.840303863,0.762019139,0.908391213,0.985183083
3,0.751824543,0.70547921,0.727864991,0.834525546,0.974347681
4,0.810924029,0.663230013,0.729628868,0.810927277,0.977299762
5,0.655367047,0.840579406,0.736458472,0.90625566,0.977305176
6,0.724252251,0.775800436,0.749090698,0.873889639,0.973236613
7,0.708184801,0.710714032,0.709397166,0.836510071,0.967599785
8,0.810344478,0.655052037,0.724420421,0.805991348,0.975331431
9,0.701886528,0.726562216,0.713961261,0.846056394,0.979336164
10,0.703056462,0.665288981,0.683601556,0.810455242,0.971957487
11,0.804545089,0.694117375,0.745213119,0.82977589,0.978385841
12,0.678465877,0.80985887,0.738312917,0.890638964,0.974812441
13,0.548961261,0.800865454,0.651359966,0.882140162,0.973800808
14,0.812499637,0.652329515,0.723608365,0.804472286,0.969151085
15,0.729166287,0.56910546,0.639219878,0.750714941,0.966839786
16,0.694545202,0.776422449,0.733155251,0.874202263,0.982027641
17,0.673529214,0.823740711,0.74105059,0.898077907,0.978974729
18,0.776061476,0.700348188,0.736213601,0.832283328,0.984460377
19,0.782917871,0.743242992,0.762514764,0.857138879,0.977055207
,0.726590008,0.73447519,0.725407791,0.849657872,0.976635026
