,Precision,Recall,F1,Gmean,AUC,,Precision,Recall,F1,Gmean,AUC
0,0.440475666,0.569229893,0.496594447,0.751260237,0.975287244,,0.440475666,0.569229893,0.496594447,0.751260237,0.975287244
1,0.661289256,0.585713449,0.621161368,0.763863337,0.980535229,,0.661289256,0.585713449,0.621161368,0.763863337,0.980535229
2,0.744184316,0.415583876,0.533286462,0.644015071,0.984732375,,0.744184316,0.415583876,0.533286462,0.644015071,0.984732375
3,0.518986685,0.512499359,0.515672629,0.713419986,0.981985494,,0.518986685,0.512499359,0.515672629,0.713419986,0.981985494
4,0.437499609,0.742423118,0.550514522,0.85671675,0.991863836,,0.437499609,0.742423118,0.550514522,0.85671675,0.991863836
5,0.604649757,0.36111061,0.452126311,0.599999243,0.980613897,,0.604649757,0.36111061,0.452126311,0.599999243,0.980613897
6,0.666665278,0.385541704,0.488502446,0.620018196,0.978428227,,0.666665278,0.385541704,0.488502446,0.620018196,0.978428227
7,0.448979134,0.594593791,0.51157829,0.76731881,0.980269438,,0.448979134,0.594593791,0.51157829,0.76731881,0.980269438
8,0.55555487,0.642856224,0.59597597,0.799166733,0.98141435,,0.55555487,0.642856224,0.59597597,0.799166733,0.98141435
9,0.477063783,0.684209626,0.56211315,0.822887067,0.982569783,,0.477063783,0.684209626,0.56211315,0.822887067,0.982569783
10,0.367999706,0.6666657,0.474180486,0.810638637,0.969152413,,0.555534835,0.549376165,0.53275256,0.733866543,0.981769987
11,0.436974423,0.684209626,0.533285222,0.822133439,0.975984875,,,,,,
12,0.566665722,0.404761423,0.47217296,0.634706087,0.982074811,,,,,,
13,0.511627312,0.564101841,0.536534835,0.748202792,0.972051421,,,,,,
14,0.506023487,0.538460848,0.521688535,0.731067183,0.985601614,,,,,,
15,0.476189909,0.493826551,0.484797919,0.699918538,0.954369797,,,,,,
16,0.418181058,0.377048562,0.39650118,0.612264891,0.971872834,,,,,,
17,0.511627312,0.51764645,0.514569288,0.716729153,0.983888118,,,,,,
18,0.608694329,0.451612175,0.51846866,0.670926955,0.973834413,,,,,,
19,0.517240785,0.592104484,0.552096794,0.766549747,0.983444751,,,,,,
,0.52382862,0.539209966,0.516591074,0.727590142,0.978498746,,,,,,
