,Precision,Recall,F1,Gmean,AUC
apache-ant-1.7.0.csv,0,0,0,0,0.876521739
apache-jmeter-2.10.csv,0.24999375,0.166663889,0.199948012,0.407985649,0.967696431
argouml.csv,0.650601626,0.431999654,0.519182313,0.653588151,0.967584296
columba-1.4-src.csv,0.999983334,0.599994,0.749943753,0.774592775,0.998529412
emf-2.4.1.csv,0.666644445,0.333327778,0.444390128,0.577107599,0.937259747
hibernate-distribution-3.3.2.GA.csv,0.249997917,0.124999479,0.166621308,0.351644389,0.890550239
jEdit-4.2.csv,0.499975001,0.24999375,0.333277784,0.499866041,0.670326864
jfreechart-1.0.19.csv,0.857130612,0.749990625,0.799939559,0.865676503,0.99147502
jruby-1.4.0.csv,0.733328444,0.379309037,0.499952793,0.61497497,0.982492589
sql12.csv,0.888879012,0.470585467,0.615334619,0.68581879,0.983456812
,0.579653414,0.350686368,0.432859027,0.543125487,0.926589315
