,Precision,Recall,F1,Gmean,AUC
apache-ant-1.7.0.csv,0.617646151,0.442104798,51.53%,66.26%,89.18%
apache-jmeter-2.10.csv,0.815260717,0.64240486,71.85%,79.91%,95.75%
argouml.csv,0.623779891,0.877652824,72.92%,91.25%,97.23%
columba-1.4-src.csv,0.726189612,0.4841266,58.09%,69.45%,97.47%
emf-2.4.1.csv,0.642855995,0.46153787,53.73%,67.77%,93.35%
hibernate-distribution-3.3.2.GA.csv,0.808218901,0.664788545,72.95%,80.62%,93.60%
jEdit-4.2.csv,0.786665618,0.301020255,43.54%,54.80%,84.69%
jfreechart-1.0.19.csv,0.614582693,0.320652,42.14%,56.37%,73.90%
jruby-1.4.0.csv,0.640176459,0.845480803,72.86%,90.19%,96.66%
sql12.csv,0.69291284,0.42105243,52.38%,64.69%,95.08%
,0.696828888,0.546082098,59.20%,72.13%,91.69%
