,Precision,Recall,F1,Gmean,AUC
apache-ant-1.7.0.csv,0.299997,0.230767456,0.260818157,0.479943759,0.871881836
apache-jmeter-2.10.csv,0.071428316,0.095237642,0.08158337,0.308096097,0.941714286
argouml.csv,0.527272248,0.141119187,0.222615361,0.374529318,0.944263591
columba-1.4-src.csv,0.337837381,0.581393997,0.427303212,0.759428349,0.989064819
emf-2.4.1.csv,0.428565306,0.187498828,0.260824959,0.432797405,0.894217708
hibernate-distribution-3.3.2.GA.csv,0.406778972,0.374999414,0.390193357,0.608532586,0.958046875
jEdit-4.2.csv,0.499975001,0.071428061,0.124976566,0.267239799,0.710310768
jfreechart-1.0.19.csv,0.138461325,0.599996,0.224968973,0.7694276,0.967046534
jruby-1.4.0.csv,0.64999675,0.118181711,0.19997366,0.343509541,0.952368701
sql12.csv,0.428570408,0.35999928,0.391253882,0.598906665,0.971561789
,0.378888271,0.276062158,0.25845115,0.494241112,0.920047691
