,Precision,Recall,F1,Gmean,AUC
apache-ant-1.7.0.csv,0.608693006,0.482756956,53.84%,69.20%,91.93%
apache-jmeter-2.10.csv,0.777776698,0.577318992,66.27%,75.71%,97.43%
argouml.csv,0.721115251,0.797356477,75.73%,88.03%,98.00%
columba-1.4-src.csv,0.689652794,0.512819198,58.82%,71.43%,98.81%
emf-2.4.1.csv,0.592590398,0.666663889,62.74%,81.27%,95.30%
hibernate-distribution-3.3.2.GA.csv,0.837208329,0.712870581,77.00%,83.65%,94.78%
jEdit-4.2.csv,0.704543853,0.607841945,65.26%,77.70%,95.71%
jfreechart-1.0.19.csv,0.863634401,0.703702401,77.55%,83.68%,98.26%
jruby-1.4.0.csv,0.745453868,0.752292888,74.88%,85.78%,96.30%
sql12.csv,0.711537093,0.67272605,69.15%,81.70%,94.48%
,0.725220569,0.648634938,68.12%,79.82%,96.10%
