,Precision,Recall,F1,Gmean,AUC
apache-ant-1.7.0.csv,0,0,0.00%,0.00%,86.89%
apache-jmeter-2.10.csv,0.045454339,0.199996,7.40%,44.52%,95.35%
argouml.csv,0.611110545,0.589285188,59.99%,76.14%,97.16%
columba-1.4-src.csv,0.318180372,0.699993,43.75%,83.32%,99.46%
emf-2.4.1.csv,0.99990001,0.166663889,28.57%,40.82%,93.99%
hibernate-distribution-3.3.2.GA.csv,0.333331481,0.461534911,38.70%,67.45%,95.78%
jEdit-4.2.csv,0.24999375,0.166663889,19.99%,40.79%,95.63%
jfreechart-1.0.19.csv,0.294115917,0.833319445,43.47%,90.85%,99.33%
jruby-1.4.0.csv,0.599998286,0.583331713,59.15%,75.98%,97.94%
sql12.csv,0.666662222,0.555552469,60.60%,74.44%,96.12%
,,,36.16%,59.43%,95.76%
