,Precision,Recall,F1,Gmean,AUC
apache-ant-1.7.0.csv,0.284809946,0.473683712,35.57%,67.84%,78.83%
apache-jmeter-2.10.csv,0.529196887,0.458860614,49.15%,67.17%,84.24%
argouml.csv,0.500588869,0.5305867,51.51%,70.99%,75.21%
columba-1.4-src.csv,0.361581717,0.507936105,42.24%,70.63%,85.55%
emf-2.4.1.csv,0.267123105,0.499999359,34.82%,69.83%,74.92%
hibernate-distribution-3.3.2.GA.csv,0.660516361,0.50422521,57.18%,69.72%,78.03%
jEdit-4.2.csv,0.503267645,0.392856942,44.12%,62.44%,73.90%
jfreechart-1.0.19.csv,0.192857074,0.293478101,23.27%,52.70%,64.75%
jruby-1.4.0.csv,0.515492813,0.533527541,52.43%,71.60%,76.78%
sql12.csv,0.211382057,0.373205563,26.98%,59.80%,69.27%
,0.402681647,0.456835985,41.73%,66.27%,76.15%
