,Precision,Recall,F1,Gmean,AUC
apache-ant-1.7.0.csv,0.051281986,0.307689941,8.79%,0.549622191,0.550183691
apache-jmeter-2.10.csv,0.035211243,0.238094104,6.13%,0.48375224,0.593806369
argouml.csv,0.26966277,0.116788293,16.29%,0.339220896,0.630378946
columba-1.4-src.csv,0.140186785,0.348836398,20.00%,0.586356566,0.775663282
emf-2.4.1.csv,0.027777752,0.187498828,4.84%,0.427770393,0.417091544
hibernate-distribution-3.3.2.GA.csv,0.114503729,0.234374634,15.38%,0.474171396,0.701299982
jEdit-4.2.csv,0,0,0.00%,0,0.652330373
jfreechart-1.0.19.csv,0.102040608,0.333331111,15.62%,0.57444309,0.845570005
jruby-1.4.0.csv,0.255638906,0.309090628,27.98%,0.549967619,0.726725462
sql12.csv,0.07006365,0.21999956,10.62%,0.464219459,0.644170636
,0.106636743,0.22957035,12.57%,0.444952385,0.653722029
