,Precision,Recall,F1,Gmean,AUC
apache-ant-1.7.0.csv,0.333332407,0.413791677,36.92%,0.636367885,0.831264368
apache-jmeter-2.10.csv,0.708859862,0.577318992,63.63%,0.75595941,0.851529603
argouml.csv,0.666666354,0.625550385,64.54%,0.779587237,0.808014409
columba-1.4-src.csv,0.434781664,0.512819198,47.05%,0.710943371,0.817270444
emf-2.4.1.csv,0.432431264,0.666663889,52.45%,0.809294877,0.860158863
hibernate-distribution-3.3.2.GA.csv,0.690720937,0.66336568,67.67%,0.798214012,0.819342804
jEdit-4.2.csv,0.659573065,0.607841945,63.26%,0.776371502,0.812745611
jfreechart-1.0.19.csv,0.803919992,0.759257853,78.09%,0.867760771,0.923761622
jruby-1.4.0.csv,0.560975154,0.633026942,59.48%,0.778679599,0.804091557
sql12.csv,0.528570673,0.67272605,59.19%,0.813189299,0.827671246
,,,59.23%,,
