,Precision,Recall,F1,Gmean,AUC
apache-ant-1.7.0.csv,0,0,0.00%,0,0.351304348
apache-jmeter-2.10.csv,0.049999875,0.399992,8.89%,0.627345465,0.617766497
argouml.csv,0.475524143,0.607142315,53.33%,0.767920801,0.785245801
columba-1.4-src.csv,0.206895838,0.599994,30.77%,0.769725732,0.717783224
emf-2.4.1.csv,0.071428061,0.166663889,10.00%,0.406053163,0.593080725
hibernate-distribution-3.3.2.GA.csv,0.142856463,0.230767456,17.64%,0.475250755,0.792207792
jEdit-4.2.csv,0.14999925,0.499991667,23.07%,0.704021385,0.672205181
jfreechart-1.0.19.csv,0.230767456,0.499991667,31.57%,0.704296007,0.975323304
jruby-1.4.0.csv,0.302324878,0.361110108,32.91%,0.594229854,0.744891679
sql12.csv,0.310343757,0.499997222,38.29%,0.703517233,0.764043522
,,,24.65%,,
