,Precision,Recall,F1,Gmean,AUC
0,0.770750988,0.764705882,0.767716535,0.870174519,0.984490501
1,0.759259259,0.803921569,0.780952381,0.891674146,0.987035342
2,0.75464684,0.796078431,0.77480916,0.887237974,0.988580554
3,0.797468354,0.741176471,0.768292683,0.857414019,0.984445727
4,0.796747967,0.768627451,0.78243513,0.872998786,0.984809228
5,0.791505792,0.803921569,0.79766537,0.892512508,0.987993513
6,0.795180723,0.776470588,0.785714286,0.877366712,0.98724462
7,0.77037037,0.815686275,0.792380952,0.898405284,0.98694115
8,0.82231405,0.780392157,0.800804829,0.880179583,0.98893709
9,0.783464567,0.780392157,0.781925344,0.879279296,0.982051461
10,0.758241758,0.811764706,0.784090909,0.895936594,0.985631749
11,0.780769231,0.796078431,0.788349515,0.887920669,0.986797872
12,0.770992366,0.792156863,0.781431335,0.885504027,0.984305102
13,0.779527559,0.776470588,0.777996071,0.876992393,0.983990355
14,0.689655172,0.862745098,0.766550523,0.921030896,0.98928434
15,0.739285714,0.811764706,0.773831776,0.895400036,0.987774616
16,0.792828685,0.780392157,0.786561265,0.879504454,0.987015111
17,0.831168831,0.752941176,0.790123457,0.864855023,0.984742232
18,0.78030303,0.807843137,0.793834297,0.894381209,0.984196981
19,0.766798419,0.760784314,0.763779528,0.867866299,0.985205564
,75.61%,85.10%,80.07%,91.70%,98.77%
,75.63%,82.75%,79.03%,90.44%,98.59%
,80.54%,81.18%,80.86%,89.72%,98.91%
