,Precision,Recall,F1,Gmean,AUC
0,0.661764706,0.6,0.629370629,0.773133064,0.966226745
1,0.590361446,0.653333333,0.620253165,0.80603165,0.96671044
2,0.61038961,0.626666667,0.618421053,0.78967123,0.964685927
3,0.661538462,0.573333333,0.614285714,0.755819329,0.969131101
4,0.580645161,0.72,0.642857143,0.845807706,0.976749836
5,0.721311475,0.586666667,0.647058824,0.764872242,0.962260889
6,0.620253165,0.653333333,0.636363636,0.806297711,0.973587218
7,0.641025641,0.666666667,0.653594771,0.814618032,0.970903918
8,0.693548387,0.573333333,0.627737226,0.756006082,0.975563581
9,0.625,0.666666667,0.64516129,0.814483685,0.961427008
10,0.689655172,0.533333333,0.601503759,0.729217043,0.959568833
11,0.658227848,0.693333333,0.675324675,0.830819144,0.972689866
12,0.616438356,0.6,0.608108108,0.772814522,0.964073101
13,0.628205128,0.653333333,0.640522876,0.806364213,0.961593346
14,0.7,0.56,0.622222222,0.747225114,0.966651346
15,0.662337662,0.68,0.671052632,0.822859546,0.973994309
16,0.642857143,0.72,0.679245283,0.846436274,0.966655723
17,0.637681159,0.586666667,0.611111111,0.764368457,0.978207485
18,0.671428571,0.626666667,0.648275862,0.790127029,0.96639965
19,0.584269663,0.693333333,0.634146341,0.830133933,0.97878967
,75.81%,62.67%,68.61%,79.06%,96.50%
,66.67%,66.67%,66.67%,81.48%,95.86%
,65.75%,64.00%,64.86%,79.84%,96.47%
