,Precision,Recall,F1,Gmean,AUC
apache-ant-1.7.0.csv,0.428571429,0.230769231,30.00%,0.480147877,0.64226603
apache-jmeter-2.10.csv,0.117647059,0.19047619,14.55%,0.435616592,0.640172283
argouml.csv,0.404761905,0.082725061,13.74%,0.286805089,0.629327818
columba-1.4-src.csv,0.392857143,0.255813953,30.99%,0.5051073,0.495294246
emf-2.4.1.csv,0.230769231,0.1875,20.69%,0.432516298,0.425791991
hibernate-distribution-3.3.2.GA.csv,0.457142857,0.25,32.32%,0.498331133,0.687552065
jEdit-4.2.csv,0.285714286,0.142857143,19.05%,0.377872383,0.405890665
jfreechart-1.0.19.csv,0.2,0.266666667,22.86%,0.515454371,0.655380637
jruby-1.4.0.csv,0.518518519,0.127272727,20.44%,0.356250537,0.461646128
sql12.csv,0.333333333,0.2,25.00%,0.446586631,0.714513869
,,,22.96%,,
