,Precision,Recall,F1,Gmean,AUC
apache-ant-1.7.0.csv,0.49999375,0.137930559,0.216181159,0.370729183,0.598681992
apache-jmeter-2.10.csv,0.863634401,0.391752173,0.538963396,0.625074075,0.840762034
argouml.csv,0.668202457,0.638766238,0.653102888,0.787616826,0.881938855
columba-1.4-src.csv,0.827583353,0.615383037,0.705831362,0.783377449,0.846068707
emf-2.4.1.csv,0.307689941,0.166665972,0.216169476,0.406708474,0.585737179
hibernate-distribution-3.3.2.GA.csv,0.83333179,0.445544113,0.580599013,0.663521607,0.822701835
jEdit-4.2.csv,0.599996,0.176470242,0.272691327,0.419423612,0.610033757
jfreechart-1.0.19.csv,0.666662963,0.222221811,0.333294912,0.470238664,0.677869227
jruby-1.4.0.csv,0.776314768,0.541283907,0.637788743,0.730821832,0.830429209
sql12.csv,0.749998125,0.545453554,0.631528868,0.736641337,0.838628159
,,,0.478615114,,
