,Precision,Recall,F1,Gmean,AUC
apache-ant-1.7.0.csv,0.333322223,0.24999375,28.57%,49.96%,69.93%
apache-jmeter-2.10.csv,0.199996,0.199996,19.99%,44.68%,64.84%
argouml.csv,0.74358879,0.51785668,61.05%,71.69%,81.49%
columba-1.4-src.csv,0.499991667,0.299997,37.49%,54.73%,72.63%
emf-2.4.1.csv,0.599988,0.499991667,54.54%,70.65%,92.56%
hibernate-distribution-3.3.2.GA.csv,0.307689941,0.307689941,30.76%,55.17%,60.20%
jEdit-4.2.csv,0.99990001,0.166663889,28.57%,40.82%,44.88%
jfreechart-1.0.19.csv,0.222219753,0.333327778,26.66%,57.57%,76.37%
jruby-1.4.0.csv,0.611107716,0.305554707,40.74%,55.13%,76.18%
sql12.csv,0.444439506,0.222220988,29.62%,47.08%,61.73%
,,,35.80%,54.75%,70.08%
