,Precision,Recall,F1,Gmean,AUC
apache-ant-1.7.0.csv,0.643834734,0.494736321,0.559474005,0.701073722,0.913981751
apache-jmeter-2.10.csv,0.866309697,0.512658066,0.644088225,0.714838757,0.954774644
argouml.csv,0.66057686,0.857677796,0.746284279,0.90655842,0.975364005
columba-1.4-src.csv,0.551020033,0.642856633,0.593356459,0.797577212,0.977070702
emf-2.4.1.csv,0.511363055,0.576922337,0.542118208,0.755748492,0.941932196
hibernate-distribution-3.3.2.GA.csv,0.769938414,0.707042054,0.737101126,0.828449096,0.939649538
jEdit-4.2.csv,0.651685027,0.591836433,0.620270644,0.766939478,0.854634354
jfreechart-1.0.19.csv,0.499999576,0.320652,0.390680612,0.562283345,0.741837509
jruby-1.4.0.csv,0.710526129,0.787171782,0.746837894,0.876028054,0.971723441
sql12.csv,0.610618929,0.330143383,0.428525611,0.572766922,0.926086873
,0.647587245,0.58216968,0.600873706,0.74822635,0.919705501
