,Precision,Recall,F1,Gmean,AUC
apache-ant-1.7.0.csv,0.653843639,0.586204875,61.81%,76.26%,93.83%
apache-jmeter-2.10.csv,0.773808603,0.670102402,71.82%,81.52%,97.73%
argouml.csv,0.706521483,0.859030459,77.53%,91.17%,98.15%
columba-1.4-src.csv,0.733331704,0.846151677,78.57%,91.68%,99.31%
emf-2.4.1.csv,0.571426939,0.833329861,67.79%,90.71%,96.37%
hibernate-distribution-3.3.2.GA.csv,0.73999926,0.732672542,73.63%,84.12%,94.77%
jEdit-4.2.csv,0.782606994,0.705880969,74.22%,83.80%,97.32%
jfreechart-1.0.19.csv,0.851062019,0.740739369,79.20%,85.82%,98.61%
jruby-1.4.0.csv,0.758927894,0.779815798,76.92%,87.37%,97.10%
sql12.csv,0.733331704,0.599998909,65.99%,77.22%,94.44%
,0.730486024,0.735392686,72.75%,84.97%,96.76%
