,Precision,Recall,F1,Gmean,AUC
apache-ant-1.7.0.csv,0.0,0.0,0.0,0.0,0.8197530864197531
apache-jmeter-2.10.csv,0.0,0.0,0.0,0.0,0.9631250000000001
argouml.csv,0.0,0.0,0.0,0.0,0.938591495823842
columba-1.4-src.csv,0.0,0.0,0.0,0.0,0.9934272300469483
emf-2.4.1.csv,0.0,0.0,0.0,0.0,0.9748283752860413
hibernate-distribution-3.3.2.GA.csv,0.0,0.0,0.0,0.0,0.9269366197183099
jEdit-4.2.csv,0.0,0.0,0.0,0.0,0.9902629016553067
jfreechart-1.0.19.csv,0.0,0.0,0.0,0.0,0.9679633867276888
jruby-1.4.0.csv,0.0,0.0,0.0,0.0,0.9765325670498084
sql12.csv,0.0,0.0,0.0,0.0,0.9873595505617977
