,Precision,Recall,F1,Gmean,AUC
apache-ant-1.7.0.csv,0.749990625,0.545449587,0.63152355,0.736682831,0.968857339
apache-jmeter-2.10.csv,0.8999955,0.666664198,0.7659053,0.815440794,0.975866189
argouml.csv,0.656249316,0.807691272,0.724087637,0.88105607,0.975145138
columba-1.4-src.csv,0.999983334,0.428568367,0.599952003,0.654651281,0.988888889
emf-2.4.1.csv,0.799984,0.571420408,0.666606948,0.755046008,0.976798144
hibernate-distribution-3.3.2.GA.csv,0.777775617,0.717946877,0.746614759,0.833813363,0.943346509
jEdit-4.2.csv,0.624992188,0.277776235,0.384569827,0.526261465,0.836688669
jfreechart-1.0.19.csv,0.941170934,0.799996,0.864810522,0.893359422,0.979761905
jruby-1.4.0.csv,0.882350346,0.749998125,0.810758951,0.862014828,0.98556582
sql12.csv,0.599994,0.374997656,0.461487579,0.61062583,0.913317923
,0.793248586,0.594050873,0.665631707,0.756895189,0.954423652
