,Precision,Recall,F1,Gmean,AUC
apache-ant-1.7.0.csv,0.333322223,0.333322223,0.33327223,0.575913279,0.983539095
apache-jmeter-2.10.csv,0,0,0,0,0.933125
argouml.csv,0.595743413,0.583332118,0.589422453,0.755452641,0.959567198
columba-1.4-src.csv,0.384612426,0.99998,0.555509262,0.993710488,0.995618153
emf-2.4.1.csv,0.99990001,0.99990001,0.999850012,0.999949889,1
hibernate-distribution-3.3.2.GA.csv,0.285710204,0.249996875,0.266613343,0.495575862,0.960827465
jEdit-4.2.csv,0.333322223,0.99990001,0.499937503,0.998975819,1
jfreechart-1.0.19.csv,0.428565306,0.999966668,0.599946003,0.995396116,0.994660564
jruby-1.4.0.csv,0.538457396,0.777769136,0.636309508,0.876191538,0.987068966
sql12.csv,0.571420408,0.571420408,0.571370413,0.754329277,0.950040128
,0.447105361,0.651558745,0.505223073,0.744549491,0.976444657
