,Precision,Recall,F1,Gmean,AUC
apache-ant-1.7.0.csv,0.741378032,0.452631102,56.20%,67.15%,92.89%
apache-jmeter-2.10.csv,0.8584067,0.613923856,71.58%,78.19%,95.91%
argouml.csv,0.6166814,0.86766531,72.09%,90.74%,97.57%
columba-1.4-src.csv,0.738635524,0.515872606,60.74%,71.69%,97.24%
emf-2.4.1.csv,0.710524446,0.346153402,46.55%,58.76%,96.30%
hibernate-distribution-3.3.2.GA.csv,0.838027874,0.670422346,74.49%,81.14%,93.51%
jEdit-4.2.csv,0.779068862,0.34183656,47.51%,58.41%,97.69%
jfreechart-1.0.19.csv,0.566037202,0.326086779,41.37%,56.79%,72.90%
jruby-1.4.0.csv,0.721649299,0.816326293,76.60%,89.23%,97.76%
sql12.csv,0.686746574,0.545454284,60.80%,73.58%,95.60%
,0.725715591,0.549637254,60.79%,72.57%,93.74%
