,Precision,Recall,F1,Gmean,AUC
apache-ant-1.7.0.csv,0.111109877,0.076922485,0.090859943,0.277075778,0.888118774
apache-jmeter-2.10.csv,0.061855606,0.285712925,0.101665492,0.531472041,0.967433429
argouml.csv,0.476190249,0.243308943,0.322016332,0.490185006,0.936368641
columba-1.4-src.csv,0.311110765,0.651161276,0.421008247,0.803021338,0.992733923
emf-2.4.1.csv,0.499995,0.312498047,0.384565095,0.558694907,0.84707264
hibernate-distribution-3.3.2.GA.csv,0.435293606,0.578124097,0.496594627,0.753916882,0.965842577
jEdit-4.2.csv,0.24999375,0.071428061,0.111075319,0.267221218,0.98882841
jfreechart-1.0.19.csv,0.179486719,0.466663556,0.259218182,0.680629462,0.985413339
jruby-1.4.0.csv,0.466666044,0.318181529,0.378329765,0.561627555,0.977678255
sql12.csv,0.333332778,0.3999992,0.363586122,0.630680327,0.95753012
,0.312503439,0.340400012,0.292891912,0.555452451,0.950702011
